"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679825573780920E9,"2023-03-26 13:12:53.781 UTC+03:00"
"PAUSE",4.673692337493412E1,1.679825620517375E9,"2023-03-26 13:13:40.517 UTC+03:00"
