"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.705472210139523E9,"2024-01-17 08:16:50.140 UTC+02:00"
"PAUSE",3.017984816664830E1,1.705472240319022E9,"2024-01-17 08:17:20.319 UTC+02:00"
