"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.552749997E-3,1.087516330E-2,1.896866679E-2,-2.525587857E-2,3.340567166E-2
1.255175000E-2,3.764364347E-3,2.946725570E-2,-1.807257414E-2,3.477222359E-2
2.254974999E-2,1.711151116E-3,4.294849332E-2,-3.453950286E-2,5.514053296E-2
3.254774999E-2,-1.761473715E-3,5.360314351E-2,-3.663806856E-2,6.495188874E-2
4.254674999E-2,3.566381279E-3,4.987112157E-2,-3.140130222E-2,5.904142294E-2
5.254474998E-2,-1.473662797E-3,4.817576251E-2,-2.002320528E-2,5.219199675E-2
6.254374998E-2,-6.348687485E-3,3.784026752E-2,-1.882394135E-2,4.273795089E-2
7.254174998E-2,1.139174653E-2,5.360382873E-2,-2.780351043E-2,6.145061054E-2
8.254074998E-2,1.042907557E-2,5.448562082E-2,-2.899985075E-2,6.259744274E-2
9.253875000E-2,4.241387509E-3,5.006062618E-2,-3.124518156E-2,5.916347718E-2
1.025377500E-1,5.326210465E-3,3.133450692E-2,-1.837370574E-2,3.671257148E-2
1.125357500E-1,7.458598651E-3,2.883140983E-3,-1.208853364E-2,1.449399328E-2
1.225337500E-1,1.062053533E-2,1.306768188E-3,-1.358717501E-2,1.729493390E-2
1.325327500E-1,3.466302529E-3,-2.365013722E-3,-2.556753516E-2,2.590960049E-2
1.425307500E-1,-8.646570146E-4,-1.214200483E-2,-2.377302468E-2,2.670828739E-2
1.525297500E-1,-5.277112126E-3,-1.793547635E-2,-3.350162208E-2,3.836519134E-2
1.625277500E-1,6.177382339E-3,-3.492859852E-2,-2.032784522E-2,4.088261657E-2
1.725267500E-1,-1.110039074E-3,-3.923816090E-2,-1.074542820E-2,4.069803048E-2
1.825247500E-1,-2.797344513E-4,-5.227155434E-2,-2.032433689E-2,5.608451047E-2
1.925227500E-1,6.046934612E-4,-6.179561340E-2,-1.927242279E-2,6.473399239E-2
2.025217500E-1,1.533033963E-2,-6.633327659E-2,-1.732413054E-2,7.025132308E-2
2.125197500E-1,4.335947949E-3,-5.296218360E-2,-1.671952844E-2,5.570759345E-2
2.225187500E-1,3.220500201E-3,-4.694647678E-2,-1.866372764E-2,5.062290028E-2
2.325167500E-1,8.553709053E-3,-4.462931201E-2,-1.836318076E-2,4.901171122E-2
2.425157500E-1,-1.319058761E-3,-4.691287813E-2,-1.596816123E-2,4.957358392E-2
2.525137500E-1,1.771139894E-3,-4.131226880E-2,-6.985083818E-3,4.193604518E-2
2.625127500E-1,8.870865684E-3,-2.047657920E-2,-2.120258868E-2,3.078201293E-2
2.725107500E-1,4.913780764E-3,-6.566498552E-3,-2.628557324E-2,2.753535010E-2
2.825087500E-1,1.312197419E-2,1.932927326E-3,-1.999747753E-2,2.399628143E-2
2.925077500E-1,7.939824499E-3,7.459924553E-3,-1.700077951E-2,2.019202296E-2
3.025057500E-1,-9.566227533E-4,1.816069236E-2,-1.609621525E-2,2.428608695E-2
3.125047500E-1,2.108286694E-3,3.315911229E-2,-2.716616392E-2,4.291820200E-2
3.225027500E-1,3.037317898E-3,6.113710272E-2,-2.836075008E-2,6.746334393E-2
3.325017500E-1,5.049929526E-3,5.846973541E-2,-3.165097833E-2,6.667830364E-2
3.424997500E-1,4.104818478E-3,5.987281592E-2,-2.715914726E-2,6.587277815E-2
3.524987500E-1,-1.839241683E-3,4.151633662E-2,-1.757614553E-2,4.512105837E-2
3.624967500E-1,5.241864379E-3,4.174061846E-2,-2.655512989E-2,4.974868133E-2
3.724947500E-1,8.588189352E-3,4.680525281E-2,-2.864843309E-2,5.554476938E-2
3.824937500E-1,1.115959380E-2,4.405656810E-2,-3.373901904E-2,5.660246578E-2
3.924917500E-1,9.464029167E-3,4.515299869E-2,-3.059906423E-2,5.535940634E-2
4.024907500E-1,7.774092481E-3,3.643755931E-2,-2.192062676E-2,4.322783964E-2
4.124887500E-1,8.794011343E-3,5.565472363E-3,-2.506818295E-2,2.714264015E-2
4.224877500E-1,6.622337177E-3,4.279864929E-3,-1.519106627E-2,1.711552184E-2
4.324857500E-1,4.682852291E-3,1.429875375E-2,-2.207733214E-2,2.671688714E-2
4.424847500E-1,-1.444938350E-3,2.219424904E-3,-2.896008968E-2,2.908092998E-2
4.524827500E-1,3.026866000E-3,-1.622254823E-2,-2.132245660E-2,2.696256932E-2
4.624807500E-1,7.173619978E-3,-2.999897088E-2,-2.281875908E-2,3.836788819E-2
4.724797500E-1,-3.377845120E-3,-3.913139897E-2,-9.494708776E-3,4.040823824E-2
4.824777500E-1,5.964470599E-3,-3.027490921E-2,-2.401276052E-2,3.909933126E-2
4.924767500E-1,1.285057202E-2,-3.580195783E-2,-9.942020774E-3,3.931616923E-2
5.024747500E-1,7.284040991E-3,-3.372501313E-2,-2.206622243E-2,4.095548725E-2
5.124737500E-1,9.295483176E-3,-4.048453603E-2,2.397358418E-4,4.153867040E-2
5.224717500E-1,1.841105483E-3,-4.068237749E-2,-1.008878589E-2,4.195508441E-2
5.324707500E-1,-1.630203724E-3,-3.579289922E-2,-1.278259814E-2,3.804187185E-2
5.424687500E-1,-5.712199789E-3,-3.076783863E-2,-1.322991014E-2,3.397527987E-2
5.524667500E-1,-1.076655127E-3,-1.249891910E-2,-1.382808030E-2,1.867077850E-2
5.624657500E-1,5.262347907E-3,-7.811077262E-3,-1.173360765E-2,1.504602213E-2
5.724637500E-1,7.356729191E-3,-7.128812262E-3,-7.687334418E-3,1.280767501E-2
