"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710695234453706E9,"2024-03-17 19:07:14.454 UTC+02:00"
"PAUSE",4.384469008335145E1,1.710695278297922E9,"2024-03-17 19:07:58.298 UTC+02:00"
