"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.673005635262126E9,"2023-01-06 13:47:15.262 UTC+02:00"
"PAUSE",3.239742649998516E1,1.673005667659162E9,"2023-01-06 13:47:47.659 UTC+02:00"
