"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.705766499558376E9,"2024-01-20 18:01:39.558 UTC+02:00"
"PAUSE",3.410932437499287E1,1.705766533667239E9,"2024-01-20 18:02:13.667 UTC+02:00"
