"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.834833311E-3,1.094196774E-3,4.474990626E-2,-2.264275789E-2,5.016418904E-2
1.583383331E-2,-3.269507177E-3,3.706491073E-2,-1.815151155E-2,4.140017701E-2
2.583183334E-2,1.268531509E-2,3.335854574E-2,-1.261185944E-2,3.785193246E-2
3.582983333E-2,2.490279811E-2,2.909402061E-2,-2.593240142E-2,4.625041440E-2
4.582883333E-2,1.918380093E-2,2.980794509E-2,-2.922496855E-2,4.594159984E-2
5.582683333E-2,1.411587294E-2,4.061973006E-2,-1.919290066E-2,4.709127068E-2
6.582583333E-2,1.091412038E-2,2.158667309E-2,-2.577803493E-2,3.534981702E-2
7.582383332E-2,9.044326991E-3,1.048041229E-2,-1.320652127E-2,1.913246186E-2
8.582183332E-2,-1.373364776E-3,6.163273647E-4,-1.724577785E-2,1.731135014E-2
9.582083332E-2,-2.112818286E-3,7.742308524E-3,-2.517986476E-2,2.642788171E-2
1.058188333E-1,1.834764909E-3,-3.122172760E-3,-5.272434354E-3,6.396318397E-3
1.158168333E-1,2.177466564E-3,-3.322441838E-2,-2.578095853E-2,4.211010758E-2
1.258158333E-1,1.073097462E-2,-2.941348416E-2,-2.967286527E-2,4.313682649E-2
1.358138333E-1,1.881886158E-2,-3.452029841E-2,-2.668259919E-2,4.751590947E-2
1.458118333E-1,1.738664092E-2,-1.892502166E-2,-1.530450225E-2,2.991119384E-2
1.558108333E-1,1.265549429E-2,-9.836067399E-3,-1.784687161E-2,2.398792580E-2
1.658088333E-1,1.793938553E-2,-1.285484323E-2,-2.518278837E-2,3.348494255E-2
1.758068333E-1,8.358594775E-3,-1.201778005E-2,-1.845030427E-2,2.355221585E-2
1.858058333E-1,-7.377285808E-3,-1.503375104E-3,-9.614576697E-3,1.221165704E-2
1.958038333E-1,-1.097219054E-2,1.007686076E-2,-1.095826685E-2,1.849366650E-2
2.058028333E-1,-1.151029883E-2,4.849823188E-2,-1.784160912E-2,5.294231286E-2
2.158008333E-1,-7.810911667E-3,4.829647553E-2,-3.206086814E-2,5.849324026E-2
2.257988333E-1,-2.583482601E-3,4.626104606E-2,-2.831865013E-2,5.430197703E-2
2.357978333E-1,9.003031030E-3,1.601437707E-2,-3.385888696E-2,3.852192968E-2
2.457958333E-1,3.918098610E-2,9.436901284E-3,-1.888884544E-2,4.450835045E-2
2.557938333E-1,4.391834540E-2,7.567460787E-3,-2.338184595E-2,5.032691373E-2
2.657928333E-1,3.976804655E-2,1.372107168E-2,-2.502959132E-2,4.895146347E-2
2.757908333E-1,1.493808283E-2,2.175203966E-2,-2.383266628E-2,3.555690551E-2
2.857887500E-1,-6.769814920E-3,1.434237261E-2,-2.368707061E-2,2.850633894E-2
2.957877500E-1,-1.957466902E-2,-1.665615010E-2,-9.318707585E-3,2.733922666E-2
3.057857500E-1,-1.900323160E-2,-1.883493686E-2,-2.533130765E-2,3.684498344E-2
3.157837500E-1,-1.148647143E-2,-2.271398657E-2,-1.380586088E-2,2.895627750E-2
3.257827500E-1,1.125760775E-2,-2.388604496E-2,-1.365266383E-2,2.972662284E-2
3.357807500E-1,2.759571500E-2,-2.184493729E-2,-3.206145287E-2,4.760946893E-2
3.457797500E-1,2.386530105E-2,-1.675554477E-2,-2.382857323E-2,3.765769213E-2
3.557777500E-1,2.601645514E-2,-2.372756943E-2,-1.529807031E-2,3.839120270E-2
3.657757500E-1,1.526583754E-2,-1.141392484E-2,-1.589740992E-2,2.482037707E-2
3.757747500E-1,-3.045211639E-3,-2.284525428E-5,-1.096002102E-2,1.137523172E-2
3.857727500E-1,-8.073159289E-3,3.155162705E-3,-1.170963407E-2,1.456868157E-2
3.957707500E-1,-1.548680747E-2,-1.196222465E-2,-1.904613554E-2,2.730734889E-2
4.057697500E-1,-1.641744666E-2,-2.198682364E-2,-6.774584055E-3,2.826389848E-2
4.157677500E-1,-2.479054984E-3,-1.583432166E-2,-1.605528474E-2,2.268575818E-2
4.257657500E-1,1.229377091E-3,9.668707981E-4,-1.829593778E-2,1.836266719E-2
4.357647500E-1,1.944305185E-2,1.216724264E-2,-3.191644192E-2,3.930309560E-2
