"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710697626975555E9,"2024-03-17 19:47:06.976 UTC+02:00"
"PAUSE",3.006553325001732E1,1.710697657040341E9,"2024-03-17 19:47:37.040 UTC+02:00"
