"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.878416667E-2,2.703482084E-2,2.257246111E-2,-1.076296985E-2,3.682715111E-2
3.878216667E-2,3.429757431E-3,1.827007755E-2,-2.048162699E-2,2.765964595E-2
4.878016666E-2,1.600309834E-3,4.649609956E-4,-2.496878028E-2,2.502433154E-2
5.877716668E-2,8.295006305E-4,3.761813042E-3,-1.254052341E-2,1.311884279E-2
6.877516667E-2,-1.332394067E-2,9.739771066E-4,-2.316140592E-2,2.673811419E-2
7.877316666E-2,-4.382451586E-3,6.771473153E-3,-2.584761679E-2,2.707689097E-2
8.877116669E-2,8.098686039E-3,1.390342487E-2,-1.192013383E-2,2.002457313E-2
9.876979169E-2,1.197191823E-2,1.699086208E-2,-1.895141065E-2,2.812778317E-2
1.087677917E-1,2.569975533E-2,1.127843846E-2,-4.214497626E-2,5.063476693E-2
1.187657917E-1,3.233963415E-2,3.337951120E-2,-1.204584897E-2,4.801193792E-2
1.287637917E-1,2.772603482E-2,2.168721779E-2,-3.503066897E-3,3.537428303E-2
1.387617917E-1,2.455841538E-2,4.213193423E-2,3.541073799E-3,4.889534590E-2
1.487597917E-1,9.506805204E-3,4.272081736E-2,-1.126641512E-2,4.519269511E-2
1.587567917E-1,3.400740623E-3,4.272201878E-2,-4.598367333E-2,6.285884297E-2
1.687547917E-1,1.292055588E-2,6.967615262E-2,-3.654568255E-2,7.973264025E-2
1.787527917E-1,1.137023974E-2,5.596513084E-2,-1.977703750E-2,6.043599452E-2
1.887507917E-1,1.344293151E-2,5.558292850E-2,-1.782231331E-2,5.989832385E-2
1.987487917E-1,1.482382458E-2,5.688839705E-2,-1.122957766E-2,5.985097250E-2
2.087467917E-1,8.760188855E-3,4.213206670E-2,-3.262804806E-2,5.400408757E-2
2.187447917E-1,1.160138749E-2,4.944904396E-2,-4.175379753E-2,6.575089162E-2
2.287427917E-1,1.267921206E-2,3.521136393E-2,-1.165993273E-2,3.919893620E-2
2.387407917E-1,1.782158241E-3,3.368254772E-2,-2.093010843E-2,3.969583792E-2
2.487387917E-1,1.161962349E-2,3.224600789E-2,-3.394425631E-2,4.823933262E-2
2.587357917E-1,1.067314200E-2,2.602614188E-2,-1.821875453E-2,3.351416175E-2
2.687337917E-1,1.269814242E-2,2.676773328E-2,-3.691931963E-3,2.985606684E-2
2.787317917E-1,1.769901015E-2,1.501376772E-2,-2.478693187E-2,3.395673973E-2
2.887297917E-1,1.146646298E-2,5.663753551E-3,-2.312924623E-2,2.642952722E-2
2.987277917E-1,7.713208348E-3,6.697183822E-3,-2.476646662E-2,2.679036623E-2
3.087257917E-1,1.514860086E-2,4.993032234E-3,-3.555107117E-4,1.595421157E-2
3.187237917E-1,1.629312024E-2,3.646971214E-3,-1.241363883E-3,1.674237589E-2
3.287217917E-1,1.667658795E-2,1.009157359E-2,-3.236433864E-2,3.778093247E-2
3.387197917E-1,5.932219550E-3,1.764568742E-2,-3.025875628E-2,3.552680460E-2
3.487177917E-1,3.686048202E-3,6.383344800E-3,-2.950095713E-2,3.040790216E-2
3.587157917E-1,7.658756152E-4,1.605929328E-2,-2.933957398E-2,3.345591229E-2
3.687127917E-1,6.337797046E-3,2.962725699E-2,-1.705925167E-2,3.477010347E-2
3.787107917E-1,2.420465883E-2,5.527307175E-2,-1.959811270E-2,6.344339202E-2
3.887087917E-1,1.507185616E-2,5.547007267E-2,-1.330650866E-2,5.900129645E-2
3.987067917E-1,1.478267480E-2,3.923242332E-2,-2.572014749E-2,4.918573473E-2
4.087047917E-1,1.789576896E-2,4.306579395E-2,-2.690888643E-2,5.384244909E-2
4.187027917E-1,1.975419682E-2,4.299332959E-2,-1.043611050E-2,4.845169846E-2
4.287007917E-1,1.258094229E-2,4.717062157E-2,-2.629726768E-2,5.545172617E-2
4.386987917E-1,1.717455145E-2,3.839143840E-2,-2.988161087E-2,5.159242607E-2
4.486967917E-1,1.150658950E-2,3.923067373E-2,-2.403790355E-2,4.742645011E-2
4.586947917E-1,1.411006227E-3,3.019014743E-2,-2.793214917E-2,4.115386856E-2
4.686917917E-1,8.170935698E-3,2.853790016E-2,-4.579539299E-3,3.003578059E-2
4.786897917E-1,7.516376451E-3,2.174444284E-2,-1.699610174E-2,2.860391903E-2
4.886877917E-1,1.363398928E-2,3.863763358E-2,-2.911621034E-2,5.026436210E-2
4.986857917E-1,1.276107308E-2,1.155330784E-2,-2.581721127E-2,3.102986152E-2
5.086837917E-1,9.060260653E-3,2.297602634E-2,-2.760704398E-2,3.704234046E-2
5.186817917E-1,2.152787659E-2,1.709783415E-2,-3.254560232E-2,4.260283598E-2
5.286797917E-1,2.002170693E-2,6.654669311E-3,-2.295558393E-2,3.117871398E-2
5.386777917E-1,1.273512606E-2,9.256118395E-3,-3.073238075E-2,3.453025325E-2
5.486757917E-1,8.432233147E-3,8.188724024E-3,-5.129762292E-3,1.282467224E-2
5.586737917E-1,1.069393616E-2,1.105729265E-2,-2.069154203E-2,2.578301578E-2
5.686707917E-1,9.196537323E-3,1.360293052E-2,-2.278250635E-2,2.808306630E-2
5.786687917E-1,1.164038111E-2,1.883985902E-2,-9.004712105E-3,2.390655978E-2
5.886667917E-1,1.254425101E-2,2.465428687E-2,-3.220120132E-2,4.245125983E-2
5.986647917E-1,1.424239207E-2,3.399688581E-2,-4.072702646E-2,5.493017988E-2
6.086627917E-1,1.232413989E-2,2.692361411E-2,-1.796849370E-2,3.463570681E-2
6.186607917E-1,3.786474131E-3,3.532980659E-2,-1.212595582E-2,3.754425954E-2
6.286587917E-1,3.002947234E-3,4.292118957E-2,-8.075004816E-3,4.377729901E-2
6.386567917E-1,6.372222528E-3,4.361053518E-2,-2.198845446E-2,4.925419909E-2
6.486547917E-1,9.071224183E-3,4.166834596E-2,-4.129303694E-2,5.936036609E-2
6.586527917E-1,1.140576158E-2,4.175392087E-2,-2.527342021E-2,5.012212161E-2
6.686497917E-1,7.189261280E-3,5.030697668E-2,-7.306680679E-3,5.134067552E-2
6.786477917E-1,8.964183591E-3,5.718826328E-2,-1.867834568E-2,6.082544404E-2
6.886457917E-1,8.502217010E-3,4.055754857E-2,-2.451211274E-2,4.814609134E-2
6.986437917E-1,8.354172818E-3,3.146482902E-2,-2.330934048E-2,4.003939338E-2
7.086417917E-1,1.065819506E-2,2.732830995E-2,-2.045823812E-2,3.576273415E-2
7.186397917E-1,7.560851835E-3,1.424693508E-2,-2.389406204E-2,2.882824727E-2
7.286377917E-1,8.358887136E-3,1.611132779E-2,-1.655288279E-2,2.456509324E-2
7.386357917E-1,1.961781051E-2,7.837450260E-4,-2.687497258E-2,3.328268163E-2
7.486337917E-1,1.534689456E-2,3.535510950E-3,-1.728787780E-2,2.338584463E-2
7.586317917E-1,-2.200818881E-3,4.879093756E-3,-1.893094540E-2,1.967307432E-2
7.686287917E-1,3.832265139E-3,1.475603228E-2,-2.925245047E-2,3.298685500E-2
7.786267917E-1,1.062844735E-2,1.430558540E-2,-1.771940231E-2,2.513147200E-2
7.886247917E-1,9.656347744E-3,5.882362900E-3,-2.684281290E-2,2.912702953E-2
7.986227917E-1,1.034767136E-2,7.526027783E-3,-2.953428626E-2,3.218679017E-2
8.086207917E-1,1.233360507E-3,3.411436003E-2,-2.593649447E-2,4.287204782E-2
8.186187917E-1,8.275271952E-4,3.015487912E-2,8.947409391E-3,3.146518188E-2
8.286167917E-1,8.300597705E-3,3.831126530E-2,-2.278192163E-2,4.533948527E-2
8.386147917E-1,1.534082808E-2,4.575450359E-2,-4.178712666E-2,6.383556657E-2
8.486127917E-1,1.169684328E-2,2.968283295E-2,-3.385011613E-2,4.651577234E-2
8.586107917E-1,1.018058717E-2,5.537148313E-2,-3.339637220E-2,6.545963012E-2
8.686077917E-1,8.566061296E-3,4.975098413E-2,-1.423504651E-2,5.245163846E-2
8.786057917E-1,1.420171738E-2,3.466309838E-2,-1.887247324E-2,4.194507613E-2
