"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.429125013E-3,-4.430922263E-2,-9.606335778E-3,-2.342920840E-2,5.103446584E-2
1.542712501E-2,-4.032591661E-2,2.770045325E-3,-8.909402490E-3,4.139118449E-2
2.542512500E-2,-5.131545693E-2,3.237164766E-3,-1.714052796E-2,5.419919791E-2
3.542412500E-2,-4.725422761E-2,1.146591481E-2,-2.043484926E-2,5.274478452E-2
4.542212500E-2,-3.625032507E-2,2.454993691E-2,-3.240877748E-2,5.447122477E-2
5.542012502E-2,-4.386232177E-2,2.442657894E-2,-3.899566591E-2,6.357061419E-2
6.541912502E-2,-4.060268177E-2,2.609303540E-2,-3.600072205E-2,6.021192781E-2
7.541712502E-2,-3.611856172E-2,3.192714963E-2,-3.030962706E-2,5.694354113E-2
8.541612502E-2,-4.438125302E-2,2.591065709E-2,-1.683764219E-2,5.407923784E-2
9.541412501E-2,-3.763695572E-2,2.707869323E-2,-2.537399232E-2,5.285485360E-2
1.054121250E-1,-2.695433026E-2,2.449261593E-2,-2.148325503E-2,4.228420984E-2
1.154111250E-1,-3.320409017E-2,1.514501944E-2,-3.420504212E-2,5.001867776E-2
1.254091250E-1,-2.715954012E-2,1.013249382E-2,-1.399706483E-2,3.219046248E-2
1.354071250E-1,-2.738500510E-2,2.233270928E-3,-2.342570007E-2,3.610663966E-2
1.454061250E-1,-3.205679337E-2,-7.436013781E-3,-3.166033387E-2,4.566518414E-2
1.554041250E-1,-2.779499542E-2,-9.374201316E-3,-3.450500429E-2,4.528832898E-2
1.654021250E-1,-3.702382034E-2,-1.421746831E-2,-3.106508732E-2,5.037796470E-2
1.754011250E-1,-4.148723759E-2,-1.720830085E-2,-2.402387023E-2,5.093586989E-2
1.853991250E-1,-4.996090374E-2,-1.899014845E-2,-2.102483332E-2,5.743484358E-2
1.953971250E-1,-4.799217364E-2,-6.613438446E-3,-2.521202445E-2,5.461348254E-2
2.053961250E-1,-6.637206464E-2,-4.622808695E-3,-3.044703662E-2,7.316859548E-2
2.153941250E-1,-5.669601909E-2,7.839782294E-3,-4.212275684E-2,7.106495206E-2
2.253921250E-1,-4.031163661E-2,1.265779663E-2,-3.808466971E-2,5.688312516E-2
2.353911250E-1,-3.703808206E-2,1.793043198E-2,-2.431564629E-2,4.779718159E-2
2.453891250E-1,-2.777392717E-2,1.845182089E-2,-2.625984550E-2,4.244337652E-2
2.553881250E-1,-2.038523016E-2,1.430771643E-2,-2.820755303E-2,3.762890386E-2
2.653861250E-1,-1.742109382E-2,8.334566373E-3,-2.881215513E-2,3.468572890E-2
2.753841250E-1,-2.048970345E-2,4.173468444E-3,-7.106705904E-3,2.208508672E-2
2.853831250E-1,-3.306592229E-2,-2.415704057E-3,-2.102424860E-2,3.925824591E-2
2.953811250E-1,-4.142947806E-2,-6.460734755E-3,-3.269646049E-2,5.317143288E-2
3.053791250E-1,-4.804721969E-2,-1.627711348E-2,-2.775205493E-2,5.782435729E-2
3.153781250E-1,-6.111520763E-2,-1.461405572E-2,-3.717425823E-2,7.301071636E-2
3.253761250E-1,-6.881215341E-2,-2.957154399E-2,-2.025183141E-2,7.758688901E-2
3.353741250E-1,-6.282515276E-2,-3.357431028E-2,-2.219076812E-2,7.461008189E-2
3.453731250E-1,-5.283984432E-2,-3.625125697E-2,-2.907469511E-2,7.036718465E-2
3.553711250E-1,-3.673756259E-2,-2.157395996E-2,-2.473138332E-2,4.926180645E-2
3.653691250E-1,-3.057587637E-2,-2.286383746E-2,-2.068335593E-2,4.342165924E-2
3.753681250E-1,-9.836725211E-3,-4.994125161E-3,-1.334451556E-2,1.731411403E-2
3.853661250E-1,-6.292006038E-3,1.536154915E-3,-1.378831923E-2,1.523374081E-2
3.953651250E-1,-1.605074401E-2,8.148570098E-3,-9.591187835E-3,2.039648161E-2
4.053631250E-1,-2.764105833E-2,2.480284726E-2,-2.815200448E-2,4.660198166E-2
4.153615417E-1,-2.464143670E-2,3.552623877E-2,-3.219067633E-2,5.390318809E-2
4.253605417E-1,-4.604312307E-2,2.891267242E-2,-2.395955086E-2,5.941356651E-2
4.353585417E-1,-4.843351051E-2,4.072996834E-2,-2.531025767E-2,6.815676346E-2
4.453565417E-1,-4.775158812E-2,5.318102935E-2,-2.037111461E-2,7.431970373E-2
4.553555417E-1,-5.988519100E-2,3.741816022E-2,-2.740706921E-2,7.574630194E-2
4.653535417E-1,-4.988417731E-2,3.287110951E-2,-3.623928845E-2,6.987293477E-2
4.753515417E-1,-3.629703884E-2,3.080727993E-2,-3.908278942E-2,6.159568129E-2
4.853505417E-1,-4.355188943E-2,1.085603194E-2,-3.114753306E-2,5.463322541E-2
4.953485417E-1,-3.708253917E-2,4.043148626E-3,-2.156394660E-2,4.308672134E-2
5.053465417E-1,-3.069363381E-2,-2.003170202E-2,-2.649841189E-2,4.522758091E-2
5.153455417E-1,-3.123707769E-2,-2.437400881E-2,-1.407073975E-2,4.204560673E-2
5.253435417E-1,-3.348661118E-2,-3.377183653E-2,4.590064287E-4,4.756154705E-2
5.353415417E-1,-2.307296678E-2,-3.273101388E-2,-2.468051255E-2,4.704050133E-2
5.453405417E-1,-2.885403581E-2,-3.585662473E-2,-3.365423441E-2,5.701631708E-2
5.553385417E-1,-2.039057488E-2,-3.228784975E-2,-1.987702489E-2,4.305086414E-2
5.653365417E-1,-1.981326283E-2,-1.598583078E-2,-3.154631317E-2,4.053741536E-2
5.753355417E-1,-2.860711886E-2,-1.840705315E-2,-2.420571864E-2,4.175049304E-2
5.853335417E-1,-3.301626664E-2,-1.712795645E-3,-2.450100303E-2,4.114980779E-2
5.953325417E-1,-3.902534966E-2,1.530168828E-2,-1.911279380E-2,4.606971313E-2
6.053305417E-1,-5.340398186E-2,1.251797508E-2,-2.734508872E-2,6.128979406E-2
