"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.705471965830019E9,"2024-01-17 08:12:45.830 UTC+02:00"
"PAUSE",3.459134845831431E1,1.705472000420968E9,"2024-01-17 08:13:20.421 UTC+02:00"
