"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.705766135040871E9,"2024-01-20 17:55:35.041 UTC+02:00"
"PAUSE",3.439446758333361E1,1.705766169434874E9,"2024-01-20 17:56:09.435 UTC+02:00"
