"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710695356826000E9,"2024-03-17 19:09:16.826 UTC+02:00"
"PAUSE",3.904131454165326E1,1.710695395866892E9,"2024-03-17 19:09:55.867 UTC+02:00"
