"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.726166659E-3,9.924639925E-2,-2.988144185E-4,-3.102649570E-2,1.039835587E-1
1.772416665E-2,6.654100349E-2,2.289356690E-2,-4.242388844E-2,8.216816209E-2
2.772316666E-2,2.006146800E-2,2.456566958E-2,-3.076980293E-2,4.418953940E-2
3.772116668E-2,-3.380686501E-2,2.865076284E-2,-1.955835164E-2,4.843861530E-2
4.772016665E-2,-6.045567825E-2,4.569351439E-2,-2.075644612E-2,7.857236376E-2
5.771816667E-2,-2.948833080E-2,5.944104929E-2,-1.117227495E-2,6.728758966E-2
6.771716668E-2,5.709093455E-3,6.394348757E-2,-3.839866519E-2,7.480521933E-2
7.771516667E-2,1.774576960E-2,2.470944028E-2,-9.174866080E-3,3.177494209E-2
8.771416667E-2,8.378257865E-2,-1.383113752E-2,-2.427120745E-2,8.831711251E-2
9.771216667E-2,1.278462274E-1,-4.835704446E-4,-5.958488166E-2,1.410505222E-1
1.077111667E-1,9.988308795E-2,-2.192291540E-2,-7.577991486E-4,1.022634819E-1
1.177091667E-1,5.484255223E-2,-3.608908581E-2,7.244700193E-4,6.565555960E-2
1.277081667E-1,1.284960357E-2,-4.632465737E-2,-2.668376863E-2,5.498281278E-2
1.377061667E-1,-3.206222031E-2,-3.083616426E-2,-1.246743321E-2,4.619839703E-2
1.477051667E-1,-6.409354175E-2,5.849628771E-3,-1.186341584E-2,6.544418145E-2
1.577031667E-1,-5.348957961E-2,6.617513224E-3,-3.026518822E-2,6.181349550E-2
1.677021667E-1,-1.676065994E-2,-9.093174082E-4,-1.092903078E-2,2.002973524E-2
1.777001667E-1,3.782567460E-2,1.089433349E-2,5.122160912E-3,3.969514698E-2
1.876991667E-1,7.709089715E-2,1.431655464E-2,-1.925546587E-2,8.073873374E-2
1.976971667E-1,1.059814781E-1,3.713193444E-2,-5.248226881E-2,1.239566165E-1
2.076961667E-1,1.007451503E-1,3.686289628E-2,-4.485340655E-2,1.162767668E-1
2.176941667E-1,6.129402280E-2,2.332872537E-2,-1.447829068E-2,6.716254581E-2
2.276931667E-1,3.387577079E-2,9.323121548E-3,-1.015544415E-2,3.657350801E-2
2.376911667E-1,9.699617140E-3,-1.518613039E-2,-1.211309195E-2,2.171239566E-2
2.476901667E-1,-5.356674459E-2,-9.501297172E-3,-2.978571653E-3,5.448433410E-2
2.576881667E-1,-5.828482635E-2,-2.434494175E-2,-3.260056615E-2,7.108160159E-2
2.676871667E-1,-1.564404275E-2,-3.234051352E-2,-1.940398514E-2,4.083086489E-2
2.776851667E-1,1.529138256E-2,-5.368105765E-2,2.433026433E-2,6.088878463E-2
2.876841667E-1,3.927435882E-2,-4.651444520E-2,-4.686543345E-3,6.105761674E-2
2.976821667E-1,7.097891226E-2,-3.533086868E-2,-3.880446196E-2,8.827266018E-2
3.076811667E-1,7.600035489E-2,-1.209279343E-2,-3.266020775E-2,8.360011224E-2
3.176791667E-1,5.570682552E-2,1.084160006E-2,-2.113651514E-2,6.056024251E-2
3.276781667E-1,3.145831257E-2,1.755497336E-2,-1.083138227E-2,3.761809885E-2
3.376761667E-1,-8.024572581E-4,2.255568463E-2,-1.968465149E-2,2.994809428E-2
3.476751667E-1,-2.137193866E-2,3.484784299E-2,-2.523073554E-2,4.803875455E-2
3.576731667E-1,-4.614205979E-2,5.162898646E-2,-2.372741640E-2,7.319584833E-2
3.676721667E-1,-8.061154224E-3,4.772208709E-2,-1.937474906E-2,5.213214656E-2
3.776701667E-1,3.266017120E-2,2.069545464E-2,-1.127343178E-2,4.027504053E-2
3.876691667E-1,4.149922438E-2,2.184823549E-2,-1.021216214E-2,4.799811740E-2
3.976671667E-1,6.610142078E-2,1.299449004E-2,-2.622125387E-2,7.228975554E-2
4.076661667E-1,8.787001994E-2,1.546868338E-3,-4.478031635E-2,9.863472988E-2
4.176641667E-1,5.952366862E-2,-1.373544076E-2,-3.984351218E-2,7.293308524E-2
4.276631667E-1,3.555673566E-2,-3.747207794E-2,-4.226367474E-3,5.182953075E-2
4.376611667E-1,8.541502990E-3,-3.772059374E-2,-7.830591202E-3,3.946034242E-2
4.476601667E-1,-2.756180115E-2,-2.724594644E-2,-2.160487711E-2,4.437076960E-2
4.576581667E-1,-4.117561754E-2,-2.772666065E-2,-2.249891639E-2,5.450138007E-2
4.676571666E-1,-3.178572010E-2,-1.307065688E-2,-2.069621980E-2,4.011866882E-2
4.776551667E-1,-9.119171351E-3,-2.407980935E-2,-5.266002417E-3,2.628169108E-2
4.876541667E-1,1.706290618E-2,-1.395950789E-2,-2.545468390E-2,3.367419725E-2
4.976521667E-1,3.976461131E-2,-4.900016966E-3,-1.825383782E-2,4.402768532E-2
5.076511667E-1,8.017577849E-2,2.337661087E-2,-3.052363515E-2,8.891745439E-2
5.176491667E-1,7.414068449E-2,2.894460370E-2,-3.651001453E-2,8.756490359E-2
5.276481667E-1,4.496114150E-2,1.431117680E-2,-2.678551018E-2,5.425659021E-2
5.376461667E-1,2.389267333E-2,2.835758893E-2,-2.515004396E-2,4.480555100E-2
5.476451667E-1,1.062289249E-2,2.839912700E-2,-2.635398567E-2,4.017323512E-2
5.576431667E-1,-1.461003575E-2,2.072160266E-2,-2.306317270E-2,3.427459549E-2
5.676421667E-1,-1.862926561E-2,-2.525494667E-3,-1.273055792E-2,2.270450981E-2
5.776401667E-1,-9.598423764E-3,-2.114259076E-2,-1.856023192E-2,2.972576478E-2
5.876391667E-1,8.748421334E-3,-2.460630316E-2,-2.980910540E-3,2.628480281E-2
5.976371667E-1,3.487937227E-2,-2.673913674E-2,-2.212995708E-2,4.920657521E-2
6.076361667E-1,4.253202539E-2,-2.550168090E-2,-2.616745949E-2,5.607178300E-2
6.176341667E-1,3.275613863E-2,-2.219319380E-2,-2.108096659E-2,4.483201559E-2
6.276331667E-1,2.830944076E-2,-1.591665548E-2,-1.434614360E-2,3.550459399E-2
6.376315000E-1,2.577946018E-2,3.771969153E-3,-6.567007899E-3,2.686882788E-2
6.476305000E-1,-1.884411424E-3,2.260761750E-2,-3.186557114E-2,3.911610921E-2
6.576285000E-1,-1.148181193E-2,2.938937581E-2,-3.366125107E-2,4.613726519E-2
6.676275000E-1,1.970877126E-3,2.754876825E-2,-2.198026836E-2,3.529803374E-2
6.776255000E-1,1.919523954E-2,3.738057815E-2,-2.047928810E-2,4.674576008E-2
6.876245000E-1,2.852421630E-2,4.071946163E-2,-2.346546113E-2,5.497575227E-2
6.976225000E-1,5.039448392E-2,3.200788232E-2,-4.920782804E-2,7.736613523E-2
7.076215000E-1,4.542029411E-2,1.485085539E-2,-3.319055021E-2,5.818215917E-2
7.176195000E-1,4.650367353E-2,-1.172391178E-2,-1.806848109E-2,5.124950505E-2
7.276185000E-1,3.833189730E-2,-1.459585169E-2,-1.822460175E-2,4.488328582E-2
7.376165000E-1,2.400980037E-2,-1.734669942E-2,-2.197325170E-2,3.688092033E-2
7.476155000E-1,-5.138131119E-3,-3.490470487E-2,-1.973376811E-2,4.042475006E-2
