"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710697837883910E9,"2024-03-17 19:50:37.884 UTC+02:00"
"PAUSE",2.745678949999274E1,1.710697865340017E9,"2024-03-17 19:51:05.340 UTC+02:00"
