"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710697732324872E9,"2024-03-17 19:48:52.325 UTC+02:00"
"PAUSE",4.188245124998502E1,1.710697774206282E9,"2024-03-17 19:49:34.206 UTC+02:00"
