"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679825902133605E9,"2023-03-26 13:18:22.134 UTC+03:00"
"PAUSE",4.735071912477724E1,1.679825949483850E9,"2023-03-26 13:19:09.484 UTC+03:00"
