"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.849291669E-3,-1.746003947E-2,8.611139674E-2,-1.513727188E-2,8.915807662E-2
1.484829167E-2,6.513631500E-3,8.540907305E-2,-8.399525285E-3,8.606793351E-2
2.484629166E-2,1.595504953E-2,8.147811787E-2,-8.698318005E-3,8.347998583E-2
3.484429169E-2,1.061831979E-2,7.281840976E-2,-3.789054215E-2,8.277054246E-2
4.484329169E-2,2.126316446E-2,5.932469884E-2,-4.433183491E-2,7.705098080E-2
5.484129168E-2,2.053734684E-2,3.744726839E-2,-2.367713034E-2,4.883325738E-2
6.484029168E-2,1.847819275E-2,3.454388827E-2,6.553559303E-3,3.971993157E-2
7.483829168E-2,-4.469197372E-3,2.655511161E-2,-1.126349151E-2,2.918927747E-2
8.483629167E-2,-2.322366050E-2,-5.602692403E-3,-2.713108063E-2,3.615002220E-2
9.483529167E-2,-3.369242632E-2,-4.018241314E-2,-1.455956697E-2,5.442230157E-2
1.048332917E-1,-1.825089709E-2,-7.597164871E-2,1.313576996E-2,7.922963527E-2
1.148312917E-1,-6.141938733E-3,-7.106841121E-2,7.450522184E-3,7.172135501E-2
1.248302917E-1,-1.100777062E-2,-6.253608104E-2,-1.470106959E-2,6.517709638E-2
1.348282917E-1,-5.561273103E-3,-3.465483919E-2,-2.771931052E-2,4.472410774E-2
1.448272917E-1,9.176111469E-4,-3.440222120E-2,-3.265552998E-2,4.744194844E-2
1.548252917E-1,1.575462708E-2,-2.759366848E-2,-5.854817033E-3,3.230940570E-2
1.648232917E-1,1.767022860E-2,-3.796461906E-2,-8.094300628E-3,4.265052147E-2
1.748222917E-1,-4.195291578E-5,-1.499006823E-2,-1.242825687E-2,1.947217179E-2
1.848202917E-1,-5.369487284E-3,1.588823710E-2,-1.542027712E-2,2.278272192E-2
1.948182917E-1,5.786034591E-3,1.950711541E-2,-7.124949217E-2,7.409788042E-2
2.048172917E-1,-1.057062661E-1,3.397283457E-2,-7.214937866E-2,1.324141269E-1
2.148152917E-1,3.113051675E-2,2.301774714E-2,1.327774036E-1,1.383067774E-1
2.248142917E-1,2.000468971E-1,-4.979794001E-2,9.072656751E-2,2.252330036E-1
2.348122917E-1,1.703235082E-1,1.018493969E-1,-1.796112621E-1,2.676632260E-1
2.448102917E-1,-2.179939753E-1,4.525836278E-3,-7.542732775E-2,2.307187427E-1
2.548092917E-1,-1.696428740E-1,1.707991792E-2,-4.100418448E-2,1.753618301E-1
2.648072917E-1,-2.982964603E-2,2.097441936E-2,-5.851776481E-2,6.894971245E-2
2.748062917E-1,-8.804079518E-2,4.464519085E-2,7.410117924E-2,1.234315983E-1
2.848042917E-1,5.989008348E-2,2.253323223E-2,2.770755762E-1,2.843684996E-1
2.948022917E-1,1.197093243E-1,4.726901924E-2,-4.296241701E-2,1.356851200E-1
3.048012917E-1,-1.369309413E-2,1.106972392E-1,-4.519219422E-1,4.654834277E-1
3.147992917E-1,-1.593925405E-2,4.736783719E-2,-2.217106301E-1,2.272737893E-1
3.247972917E-1,1.796769154E-1,-4.811874758E-3,5.090556711E-1,5.398561145E-1
3.347962917E-1,1.267018450E-1,7.143397182E-3,2.198500460E-1,2.538472541E-1
3.447942917E-1,-4.975872712E-2,6.997123601E-2,-4.094483525E-1,4.183537476E-1
3.547932917E-1,-1.695090459E-1,3.833622789E-2,-3.010830742E-1,3.476406199E-1
3.647912917E-1,-8.282499659E-2,-1.247616384E-1,2.049981183E-1,2.538694053E-1
3.747892917E-1,1.472089440E-1,-1.493508613E-2,1.542466253E-1,2.137417867E-1
3.847882917E-1,-1.170412855E-1,-8.416027224E-2,-1.618947834E-1,2.167753095E-1
