"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679825436377966E9,"2023-03-26 13:10:36.378 UTC+03:00"
"PAUSE",4.785097674978897E1,1.679825484228463E9,"2023-03-26 13:11:24.228 UTC+03:00"
