"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.705765879357105E9,"2024-01-20 17:51:19.357 UTC+02:00"
"PAUSE",3.275639212498208E1,1.705765912113054E9,"2024-01-20 17:51:52.113 UTC+02:00"
