"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.679825056016732E9,"2023-03-26 13:04:16.017 UTC+03:00"
"PAUSE",4.875187437515706E1,1.679825104768118E9,"2023-03-26 13:05:04.768 UTC+03:00"
