"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710697967195151E9,"2024-03-17 19:52:47.195 UTC+02:00"
"PAUSE",4.429208562499844E1,1.710698011486136E9,"2024-03-17 19:53:31.486 UTC+02:00"
