"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.769581672E-4,1.995618157E-3,-9.737624042E-3,-2.349937499E-2,2.551518055E-2
1.037495816E-2,-6.043207012E-3,-9.472288359E-3,-2.965473890E-2,3.171195574E-2
2.037395816E-2,-1.648004841E-2,5.747118630E-3,-2.892500639E-2,3.378279685E-2
3.037195816E-2,-1.371303633E-2,2.680619471E-3,-3.432315588E-2,3.705822602E-2
4.037095816E-2,8.735374734E-4,-6.173161380E-3,-4.225314975E-2,4.271065034E-2
5.036895815E-2,7.272474468E-5,-1.593463110E-2,-1.993725121E-2,2.552276911E-2
6.036795815E-2,-4.281185120E-3,-1.972788434E-2,-1.872804701E-2,2.753647965E-2
7.036595815E-2,-1.143770199E-2,-2.492280655E-2,-2.440393925E-2,3.670857616E-2
8.036395814E-2,-2.176834334E-2,-2.151720542E-2,3.745141625E-3,3.083629334E-2
9.036295814E-2,-4.558145799E-2,-1.852476491E-2,-1.017649412E-2,5.024338026E-2
1.003609581E-1,-5.254428584E-2,-1.214877823E-2,-1.735979855E-2,5.665560337E-2
1.103599581E-1,-6.047709368E-2,-9.169292953E-3,-9.725089073E-3,6.193651710E-2
1.203579581E-1,-6.162015125E-2,3.903564624E-4,-2.020329952E-2,6.484881441E-2
1.303569581E-1,-4.318347830E-2,-1.090158541E-3,-3.143112302E-2,5.342206228E-2
1.403549581E-1,-2.156643167E-2,1.311493926E-3,-2.934249759E-2,3.643917063E-2
1.503529581E-1,7.056127489E-4,-6.064275261E-3,-2.067049205E-2,2.155324953E-2
1.603519581E-1,1.478442896E-2,-1.396766430E-2,-1.618743181E-2,2.599438275E-2
1.703499581E-1,4.044307105E-2,-3.241212135E-2,-2.142302871E-2,5.608149218E-2
1.803489581E-1,4.407426506E-2,-2.608579947E-2,-2.561314344E-2,5.726292773E-2
1.903469583E-1,3.661566641E-2,-2.819540178E-2,-4.490720093E-2,6.443868717E-2
2.003459581E-1,6.759637110E-3,-2.126191964E-2,-3.367060661E-2,4.039148017E-2
2.103439583E-1,-5.754025653E-3,-9.301476572E-3,-2.408292711E-2,2.645021088E-2
2.203429583E-1,-2.885999266E-2,1.472749170E-3,-2.571780860E-2,3.868428422E-2
2.303409583E-1,-5.093706898E-2,-3.588344883E-3,-1.388947606E-2,5.291860505E-2
2.403389583E-1,-5.265841618E-2,-7.278687134E-4,-1.447770596E-2,5.461723682E-2
2.503379583E-1,-4.484829023E-2,-1.508468349E-2,-1.507529140E-2,4.966066072E-2
2.603359583E-1,-3.901050322E-2,-1.414679009E-2,-3.229066372E-2,5.257982498E-2
2.703349583E-1,-2.337391566E-2,-1.171018224E-2,-2.900862157E-2,3.905084413E-2
2.803329583E-1,-1.848736100E-2,-1.332801545E-2,-2.303101301E-2,3.240132826E-2
2.903319583E-1,-6.085635871E-3,-1.889379730E-2,-2.528394520E-2,3.214480402E-2
3.003299583E-1,-1.146193139E-2,-2.130372724E-2,-1.930282831E-2,3.094872932E-2
3.103279583E-1,-1.197926380E-2,-2.087242199E-2,-1.706743777E-2,2.950352848E-2
3.203269583E-1,-1.248117417E-2,-1.416027524E-2,-2.051261723E-2,2.787580616E-2
3.303249583E-1,-1.082937229E-2,-1.119376346E-2,-3.593230963E-2,3.916256529E-2
3.403239583E-1,-9.171942472E-3,-9.554898553E-3,-3.533530891E-2,3.773598642E-2
3.503219583E-1,-2.121369839E-3,-1.387896935E-2,-2.889109254E-2,3.212197423E-2
3.603209583E-1,1.074268732E-2,-7.985524144E-3,-2.783742428E-2,3.088844634E-2
