"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710694947494794E9,"2024-03-17 19:02:27.495 UTC+02:00"
"PAUSE",3.978553295833990E1,1.710694987279917E9,"2024-03-17 19:03:07.280 UTC+02:00"
