"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.705473295340276E9,"2024-01-17 08:34:55.340 UTC+02:00"
"PAUSE",2.609585979167605E1,1.705473321435153E9,"2024-01-17 08:35:21.435 UTC+02:00"
