"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.280291667E-2,2.248927762E-2,2.182738194E-3,-2.291699231E-2,3.218261161E-2
2.280091666E-2,1.954950772E-2,1.514958758E-3,-1.737675548E-2,2.619980884E-2
3.279991666E-2,3.633103492E-3,5.290076500E-3,-1.228733897E-2,1.386228875E-2
4.279891666E-2,9.577821465E-3,6.063653994E-3,-3.264500499E-2,3.455718325E-2
5.279791667E-2,8.691237392E-3,-1.540408764E-2,-1.977294445E-2,2.652909451E-2
6.279591666E-2,1.875482543E-2,-1.110542483E-2,-2.590784311E-2,3.385690878E-2
7.279491666E-2,2.267287105E-2,-1.004929891E-2,-3.189539194E-2,4.040251870E-2
8.279391666E-2,2.639815042E-2,1.781418202E-3,-1.976826668E-2,3.302756672E-2
9.279191666E-2,2.901582096E-2,-6.943002138E-3,-8.241650462E-3,3.095234962E-2
1.027909167E-1,1.766078398E-2,-7.265622262E-3,-1.467592657E-2,2.408475406E-2
1.127899167E-1,2.101152177E-2,-1.009350020E-2,-1.752118170E-2,2.916084021E-2
1.227889167E-1,1.957712668E-2,-1.782357411E-2,-2.860048592E-2,3.897347147E-2
1.327869167E-1,7.962893592E-3,-2.101431747E-2,-2.470624030E-2,3.339771733E-2
1.427859167E-1,1.826253556E-2,-1.870886997E-2,-1.617339849E-2,3.074281769E-2
1.527849167E-1,1.393875713E-2,-1.839102812E-2,-2.290880620E-2,3.251664600E-2
1.627829167E-1,1.026389172E-2,-1.360558460E-2,-2.335728765E-2,2.891405008E-2
1.727819167E-1,1.655557799E-2,-1.279140551E-2,-2.919397831E-2,3.591650856E-2
1.827809167E-1,1.119586481E-2,-1.592181290E-2,-3.652989507E-2,4.139184399E-2
1.927799167E-1,2.379727235E-2,-1.834626951E-2,-2.635047734E-2,3.996552805E-2
2.027779167E-1,2.189531014E-2,-1.902821017E-2,-2.185806155E-2,3.632151213E-2
2.127769167E-1,2.507282417E-2,-9.125365745E-3,-2.500035524E-2,3.656414329E-2
2.227759167E-1,2.465881390E-2,-1.691780386E-2,-2.499918580E-2,3.897728160E-2
2.327749167E-1,2.333630162E-2,-1.876647418E-2,-2.499977052E-2,3.900964051E-2
2.427729167E-1,2.375484349E-2,-1.650182929E-2,-2.350288332E-2,3.726913580E-2
2.527719167E-1,1.344083930E-2,-2.325163577E-2,-2.245506227E-2,3.500749275E-2
2.627709167E-1,9.864554303E-3,-2.673567181E-2,-3.966984987E-2,4.884467798E-2
2.727689166E-1,3.596631484E-3,-1.133126440E-3,-3.832206666E-2,3.850714904E-2
2.827679167E-1,4.042774038E-3,-1.345864590E-4,-1.571965456E-2,1.623174898E-2
2.927669167E-1,1.517230949E-2,-8.749874001E-3,-2.440218508E-2,3.003707554E-2
3.027659167E-1,2.213167470E-2,-9.706588117E-3,-2.155751467E-2,3.238449191E-2
3.127639166E-1,1.904862975E-2,-1.393402454E-2,-2.784561038E-2,3.650185410E-2
3.227629167E-1,3.014902049E-2,-9.811326368E-3,-2.230361938E-2,3.876437797E-2
3.327619167E-1,2.473989833E-2,-6.399156265E-3,-2.365140259E-2,3.481954358E-2
3.427609167E-1,2.900949866E-2,9.406616818E-4,-2.858820677E-2,4.073967873E-2
3.527589166E-1,1.965134977E-2,1.111541991E-2,-2.424606442E-2,3.313004298E-2
3.627579166E-1,8.900558576E-3,-2.891201461E-3,-2.649139524E-2,2.809578279E-2
3.727569167E-1,2.295452412E-3,-7.777655628E-3,-2.334734738E-2,2.471557522E-2
3.827549166E-1,9.261934776E-3,-1.282903782E-2,-3.278007567E-2,3.639918966E-2
3.927539166E-1,2.560376963E-3,-9.020700585E-3,-1.317143798E-2,1.616834400E-2
4.027529166E-1,1.607630731E-2,-8.145116586E-3,-2.020388424E-2,2.707374225E-2
4.127519167E-1,2.508270049E-2,-6.316454709E-3,-2.544415891E-2,3.628284287E-2
4.227499166E-1,2.307027158E-2,-1.505285271E-2,-1.990743041E-2,3.398722688E-2
4.327489166E-1,3.208647712E-2,-1.858889242E-2,-3.233217895E-2,4.919815780E-2
4.427479166E-1,2.646168407E-2,-2.770425394E-2,-2.694280028E-2,4.683653379E-2
4.527467916E-1,2.027192208E-2,-1.863564273E-2,-2.275093138E-2,3.571894292E-2
4.627447916E-1,1.511560064E-2,-1.450947278E-2,-2.080497801E-2,2.952716196E-2
4.727437916E-1,5.139382789E-3,-1.642442677E-2,-2.559794068E-2,3.084525275E-2
4.827427916E-1,1.564967983E-2,-7.770666378E-3,-2.574996829E-2,3.111842865E-2
4.927407916E-1,9.104041681E-3,-1.215149171E-2,-2.515062869E-2,2.937850318E-2
5.027397916E-1,1.458495668E-2,-1.999997173E-2,-2.111078739E-2,3.253283226E-2
5.127387916E-1,2.119782868E-2,-1.591233859E-2,-2.679954350E-2,3.769304965E-2
5.227377916E-1,2.135712876E-2,4.319904651E-4,-2.934308231E-2,3.629504159E-2
5.327357917E-1,2.225917141E-2,-2.549020573E-5,-3.293736577E-2,3.975350834E-2
5.427347916E-1,2.051539466E-2,1.287757885E-3,-2.769767582E-2,3.449204233E-2
5.527337916E-1,2.452751650E-2,-3.801393667E-3,-2.455245852E-2,3.491235997E-2
5.627317917E-1,1.184166237E-2,-4.356303569E-3,-2.500035524E-2,2.800393027E-2
5.727307917E-1,6.750994194E-3,-5.169660402E-3,-2.170427978E-2,2.331044985E-2
5.827297916E-1,5.726260515E-3,-1.101802723E-2,-1.706159055E-2,2.110177375E-2
5.927287916E-1,8.900302760E-3,-2.746830052E-3,-2.679194212E-2,2.836491895E-2
6.027267917E-1,1.139800488E-2,3.214424578E-3,-2.828707516E-2,3.066603434E-2
6.127257917E-1,1.671495116E-2,3.044800507E-3,-2.274976194E-2,2.839387383E-2
6.227247917E-1,2.360997872E-2,-2.879543575E-3,-3.023478270E-2,3.846901287E-2
