"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.705766580008263E9,"2024-01-20 18:03:00.008 UTC+02:00"
"PAUSE",3.172380700003123E1,1.705766611731641E9,"2024-01-20 18:03:31.732 UTC+02:00"
