"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710695532968728E9,"2024-03-17 19:12:12.969 UTC+02:00"
"PAUSE",4.199437825000496E1,1.710695574962652E9,"2024-03-17 19:12:54.963 UTC+02:00"
