"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.999333331E-3,-3.049845558E-2,-2.898154166E-2,8.845083117E-3,4.299210445E-2
1.699833333E-2,-2.015741715E-2,-1.399130898E-2,-4.414530873E-2,5.050630135E-2
2.699733333E-2,-1.778394096E-2,-3.458682876E-2,-2.830052376E-3,3.899392871E-2
3.699633334E-2,-3.367268968E-2,-3.541638421E-2,-7.317205667E-3,4.941368029E-2
4.699533334E-2,-4.287765065E-2,-2.081864588E-2,-2.108038187E-2,5.211805293E-2
5.699433334E-2,-4.479045762E-2,-1.634245612E-2,-1.883095801E-2,5.126271496E-2
6.699333334E-2,-4.570368307E-2,-1.638842985E-2,-2.047928810E-2,5.269543168E-2
7.699233334E-2,-3.720011389E-2,-3.516351040E-3,-1.659088969E-2,4.088362531E-2
8.699033334E-2,-3.453932013E-2,-1.548032071E-3,-1.210432112E-2,3.663162061E-2
9.698933334E-2,-2.379975742E-2,8.839784078E-3,-1.375615954E-2,2.887563265E-2
1.069883333E-1,-1.946541745E-2,1.513824033E-2,-3.426702261E-2,4.221726703E-2
1.169873333E-1,-1.723801201E-2,1.556037275E-2,-1.869939566E-2,2.981512462E-2
1.269863333E-1,-1.439354260E-2,1.562940644E-2,-1.151316762E-2,2.416620456E-2
1.369853333E-1,-2.196767857E-2,1.886344660E-2,-1.989690542E-2,3.513253997E-2
1.469843333E-1,-3.171451198E-2,7.092398498E-3,-2.079094470E-2,3.857947340E-2
1.569823333E-1,-4.302434267E-2,5.305946209E-3,-2.467934310E-2,4.988303423E-2
1.669813333E-1,-4.921301745E-2,-6.668986995E-3,-2.213288069E-2,5.437150799E-2
1.769803333E-1,-4.721763683E-2,-2.102035655E-2,-1.704287946E-2,5.442260889E-2
1.869793333E-1,-3.552316898E-2,-3.266872276E-2,-7.310773730E-3,4.881176491E-2
1.969783333E-1,-2.702732909E-2,-3.620111709E-2,-1.868302345E-2,4.888816587E-2
2.069773333E-1,-1.564793481E-2,-3.667505220E-2,-1.853041112E-2,4.396923303E-2
2.169763334E-1,-1.868307827E-2,-4.935631078E-2,-1.658036470E-2,5.531736907E-2
2.269753334E-1,-1.960670080E-2,-3.897134515E-2,-2.375840664E-2,4.967545012E-2
