"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.033750061E-4,1.102267759E-2,-1.487750933E-3,-6.214420795E-3,1.274095169E-2
9.795624996E-3,2.121559873E-2,-2.299271375E-3,-1.459231138E-2,2.585195989E-2
1.979362505E-2,7.815096080E-3,2.373289816E-2,-4.287821710E-2,4.962728769E-2
2.979262499E-2,9.454545714E-3,1.489623869E-2,-3.419334769E-2,3.847689421E-2
3.979158337E-2,1.403762989E-2,2.444751928E-2,-2.340991259E-2,3.664369330E-2
4.979058338E-2,1.027898485E-2,4.226241393E-2,-1.697329760E-2,4.668899219E-2
5.978958338E-2,6.721593663E-3,3.107935818E-2,-5.847215652E-5,3.179795190E-2
6.978858338E-2,8.739723600E-3,3.761115488E-2,-1.847076952E-2,4.280363380E-2
7.978658337E-2,9.568182696E-3,2.909989296E-2,-3.822851121E-2,4.898747758E-2
8.978558338E-2,1.285066338E-2,1.333642082E-2,-2.700068772E-2,3.274197317E-2
9.978458338E-2,2.161143696E-2,3.606686868E-2,-2.894722581E-2,5.104718509E-2
1.097835834E-1,1.703631962E-2,1.938300826E-2,-2.505882740E-2,3.597057166E-2
1.197825834E-1,1.653992755E-2,1.368080355E-2,-1.558282971E-3,2.152119502E-2
1.297815834E-1,9.362598248E-3,-3.447956890E-3,-1.293930352E-2,1.633928481E-2
1.397795834E-1,1.261259034E-2,1.100917418E-2,-3.375188291E-2,3.767584042E-2
1.497785834E-1,2.520058583E-3,-1.058424605E-2,-2.642122865E-2,2.857373414E-2
1.597775834E-1,1.928868536E-3,-2.645569067E-2,-2.567863226E-2,3.691905006E-2
1.697765834E-1,1.480739756E-2,-3.698623370E-2,-1.100796819E-2,4.133298767E-2
1.797755833E-1,2.016680924E-2,-3.925630555E-2,-1.490045965E-2,4.658091259E-2
1.897745833E-1,9.063842073E-3,-4.569620959E-2,-3.181236148E-2,5.641208334E-2
1.997725834E-1,1.275705311E-2,-4.431814877E-2,-3.749234676E-2,5.943497944E-2
2.097715834E-1,1.292123197E-2,-3.657334719E-2,-2.535995901E-2,4.634323555E-2
2.197705834E-1,1.609438799E-2,-3.173885101E-2,-4.243909121E-3,3.583845356E-2
2.297695833E-1,1.687500956E-2,-9.496134035E-3,8.641015291E-3,2.120400090E-2
2.397685833E-1,1.384927645E-2,3.821995966E-3,-5.270680189E-3,1.530327354E-2
2.497665834E-1,6.466929149E-3,1.753693264E-2,-3.100719988E-2,3.620513256E-2
2.597655834E-1,1.237216014E-3,2.544752106E-2,-3.847818732E-2,4.614843368E-2
2.697645833E-1,8.367657959E-3,3.457714431E-2,-4.266362429E-2,5.554981049E-2
2.797635833E-1,2.100614050E-2,5.729132960E-2,-3.592236936E-2,7.080939914E-2
2.897625833E-1,2.838262232E-2,6.389395069E-2,-1.493378878E-3,6.993025358E-2
2.997615833E-1,4.085906390E-3,5.528257348E-2,-1.301824093E-2,5.694148012E-2
3.097595834E-1,2.349228524E-3,5.501996040E-2,-2.724159300E-2,6.143955816E-2
3.197585833E-1,1.293316394E-2,4.751189796E-2,-4.476160526E-2,6.654508609E-2
3.297575833E-1,7.430751286E-3,3.485600168E-2,-4.057441413E-2,5.400407392E-2
3.397565833E-1,2.145149734E-2,2.749342527E-3,-7.944611907E-3,2.304001911E-2
3.497555833E-1,2.826911325E-2,-2.518291628E-2,3.425883651E-3,3.801392791E-2
3.597535833E-1,2.921658145E-2,-2.903990418E-2,-4.361438155E-3,4.142398833E-2
3.697525833E-1,2.091682428E-2,-3.714301217E-2,-2.441680312E-2,4.912532103E-2
3.797515833E-1,7.893923856E-4,-5.156845864E-2,-2.561489761E-2,5.758517210E-2
3.897505833E-1,1.601716820E-3,-6.134107461E-2,-3.444419324E-2,7.036828390E-2
3.997495833E-1,4.929877052E-2,-2.189656181E-2,-3.383842170E-2,6.367783741E-2
4.097485833E-1,3.621975509E-2,-2.658403706E-2,2.242991924E-3,4.498458289E-2
4.197465833E-1,1.030447505E-2,-3.716680303E-2,3.009035647E-2,4.891812554E-2
4.297455833E-1,-3.423928488E-3,-2.424739832E-2,-1.660901606E-2,2.958917076E-2
4.397445833E-1,-4.546250369E-2,-2.402017917E-2,-5.208699703E-2,7.319059714E-2
4.497435833E-1,-3.388609478E-2,-3.498882484E-3,-4.969080806E-2,6.024687547E-2
4.597425833E-1,-1.676740251E-2,-8.937432580E-3,-2.514302731E-2,3.151500135E-2
4.697415833E-1,8.062835298E-3,-2.991589017E-2,1.543664932E-4,3.098376392E-2
4.797395833E-1,2.423228692E-2,-1.468096979E-2,-5.899840593E-4,2.833871353E-2
4.897385833E-1,4.398081925E-2,-3.272503875E-3,-4.055511832E-2,5.991443370E-2
4.997375833E-1,5.004127555E-2,1.951087955E-2,-2.237144709E-3,5.375693905E-2
5.097365833E-1,8.162256237E-3,2.732751053E-3,-4.182513356E-3,9.569941127E-3
5.197355833E-1,4.856057782E-2,-9.249509443E-3,-1.216957605E-1,1.313527360E-1
5.297335833E-1,4.524961023E-2,8.043740485E-2,1.449033594E-1,1.717983903E-1
5.397325833E-1,-8.436432179E-2,-9.822715648E-2,-9.190536618E-2,1.587844747E-1
5.497315833E-1,4.432657242E-2,1.895444389E-1,-9.131187379E-2,2.150111570E-1
5.597305833E-1,-6.339105360E-2,-1.361765728E-1,-9.521605968E-2,1.778442652E-1
5.697295833E-1,4.694184925E-2,9.173104607E-2,7.632604480E-2,1.282333308E-1
5.797285833E-1,9.973705374E-3,3.092659967E-2,5.117600083E-2,6.062105597E-2
5.897265833E-1,2.897779578E-2,-8.829277363E-3,-7.695578992E-2,8.270346057E-2
5.997255833E-1,1.727397239E-2,1.985330712E-2,-5.585260391E-2,6.174186011E-2
6.097245833E-1,4.645192567E-2,1.167720029E-2,4.952357769E-2,6.889646691E-2
6.197235833E-1,3.307345971E-2,-1.373147333E-2,-2.622417748E-2,4.438597280E-2
6.297225833E-1,1.490327362E-3,1.874522321E-2,-5.676067650E-2,5.979447187E-2
6.397205833E-1,6.375529859E-3,-4.360672535E-2,-1.664936185E-2,4.711045666E-2
6.497195833E-1,-4.392136037E-3,9.509016182E-3,1.418709934E-2,1.763479615E-2
6.597185833E-1,-1.868779259E-2,-6.776740216E-4,-2.413789093E-2,3.053408935E-2
6.697175833E-1,-3.994616736E-3,-3.693459548E-2,-5.392477691E-2,6.548284410E-2
6.797165833E-1,-1.082467625E-2,-1.827843267E-2,-3.655854642E-2,4.228240809E-2
6.897155833E-1,1.330484586E-2,-2.278729375E-2,-1.590384185E-2,3.080928213E-2
6.997135833E-1,2.533801368E-2,-2.847678076E-2,-4.077263474E-3,3.833491955E-2
7.097125833E-1,1.178568441E-2,-1.775945574E-2,-7.813634276E-3,2.270139877E-2
7.197115833E-1,1.517801967E-2,-8.369412124E-3,-1.948584616E-2,2.607906327E-2
7.297105833E-1,1.440083334E-2,6.725083720E-3,-1.858420551E-2,2.445370005E-2
7.397095833E-1,1.895557679E-3,-4.989977293E-3,-5.226182878E-2,5.253372022E-2
7.497085833E-1,1.723731766E-2,-5.657254234E-3,-2.936296284E-2,3.451540572E-2
7.597065833E-1,-7.085454930E-3,-1.119219203E-2,-3.286135197E-4,1.325054039E-2
7.697055833E-1,1.045979172E-2,1.055524752E-2,-1.933615744E-2,2.438662497E-2
7.797045833E-1,9.953587297E-3,1.391885832E-2,-1.529456198E-2,2.295064581E-2
7.897035833E-1,-3.865612540E-3,4.344060961E-3,-3.385713279E-2,3.435286403E-2
7.997025833E-1,2.198489131E-2,1.529929457E-2,-2.457818627E-2,3.635231906E-2
8.097005833E-1,2.015383573E-2,1.549714973E-2,-2.412736595E-2,3.504951543E-2
8.196995833E-1,2.883755397E-2,1.214806560E-2,-1.664176047E-2,3.544189905E-2
8.296985833E-1,1.939707812E-2,1.840522589E-2,-2.696969748E-2,3.797846181E-2
8.396975833E-1,2.387401706E-2,1.739197651E-2,-1.005253315E-2,3.120100896E-2
8.496965833E-1,1.323774906E-2,-4.166506603E-4,-3.915295601E-3,1.381090647E-2
8.596955833E-1,-4.604134150E-3,-4.642433412E-3,-4.133747578E-2,4.185136967E-2
8.696935833E-1,2.627263628E-3,-4.236252923E-3,-3.490261495E-2,3.525678493E-2
8.796925833E-1,4.199653007E-3,-2.560824640E-3,-6.297451258E-4,4.958980454E-3
8.896915833E-1,1.337863041E-2,1.602612175E-3,5.505738258E-3,1.455572984E-2
8.996905833E-1,1.401217623E-2,-1.396252971E-2,-2.578505158E-2,3.249864926E-2
9.096895833E-1,1.788380044E-2,-4.314514250E-3,-3.746603429E-2,4.173905937E-2
9.196875833E-1,1.837748816E-2,-9.640158266E-3,-2.488925815E-2,3.240586203E-2
9.296865833E-1,7.067620922E-3,-1.100703629E-2,-1.680431306E-2,2.129532932E-2
9.396855833E-1,1.356215989E-2,-1.975130975E-2,-6.622556448E-3,2.485768838E-2
9.496845833E-1,1.754164696E-2,-1.887241842E-2,3.561539054E-3,2.601080767E-2
9.596835834E-1,1.110057347E-3,-1.711220551E-2,-1.649499536E-2,2.379379492E-2
9.696825834E-1,2.171290442E-3,9.064463340E-4,-3.849689841E-2,3.856873519E-2
9.796805833E-1,-1.025638171E-4,-1.433952894E-2,-5.181393206E-2,5.376166074E-2
9.896795833E-1,1.989615625E-2,6.482168455E-3,-2.920918107E-2,3.593120928E-2
9.996785834E-1,1.119951932E-2,-1.026738178E-2,-1.768373430E-2,2.331443373E-2
1.009677583E0,2.934788799E-2,3.672234155E-4,-4.753786325E-4,2.935403494E-2
1.019676583E0,2.592871036E-2,5.431332439E-4,-2.113242209E-2,3.345403232E-2
1.029675583E0,1.790993018E-2,3.648297116E-4,-3.490495384E-2,3.923333407E-2
1.039673583E0,4.237038642E-3,1.337472009E-2,-2.247903585E-2,2.649797514E-2
1.049671958E0,1.263263533E-2,1.328904010E-2,-1.589390159E-2,2.426516371E-2
1.059670958E0,3.009068538E-3,-4.244183209E-3,-1.589448631E-2,1.672430207E-2
1.069669958E0,2.463139594E-3,1.726216832E-2,-1.244930685E-2,2.142509633E-2
1.079668958E0,4.032112006E-3,1.938543851E-2,-3.116273582E-2,3.692112210E-2
1.089666958E0,1.410503732E-2,1.502195382E-2,-6.393988788E-2,6.717827355E-2
1.099665958E0,2.013908979E-2,1.957976706E-3,-1.783693135E-2,2.697355613E-2
1.109664958E0,2.870960958E-2,4.774014037E-3,3.117150664E-3,2.927028392E-2
1.119663958E0,2.396194456E-2,1.328271780E-2,3.567970991E-3,2.762853229E-2
1.129662958E0,2.115058500E-2,1.102954807E-2,-1.125062764E-2,2.637375208E-2
1.139661958E0,-1.227246512E-2,-5.647167787E-3,-3.280872703E-2,3.548121296E-2
1.149659958E0,-8.156920653E-3,5.592861772E-4,-4.269169092E-2,4.346755835E-2
1.159658958E0,-1.120374028E-2,-1.294493146E-2,-3.595979154E-2,3.982714720E-2
1.169657958E0,-3.694398757E-3,-1.196512084E-2,-2.862621367E-2,3.124536459E-2
1.179656958E0,1.186220985E-2,-2.006472051E-3,-1.290772855E-2,1.764503922E-2
1.189655958E0,1.407185437E-2,-1.056913465E-2,3.404833674E-3,1.792530572E-2
1.199653958E0,1.386003898E-2,-1.549541384E-2,-2.474190831E-2,3.231672257E-2
1.209652958E0,4.263223205E-3,-2.921323758E-3,-3.881323278E-2,3.915579451E-2
1.219651958E0,4.861302003E-3,2.676014788E-4,-2.503894687E-2,2.550789540E-2
1.229650958E0,8.457631990E-3,-1.382133773E-2,-1.126407623E-2,1.973424254E-2
1.239649958E0,2.491991948E-3,-2.319901083E-3,-1.426018953E-2,1.466100169E-2
1.249648958E0,1.007650673E-2,-8.024134040E-3,-1.575824618E-2,2.035301053E-2
1.259646958E0,1.299899993E-2,-4.236983825E-3,-2.069738925E-2,2.480540169E-2
1.269645958E0,1.338557398E-2,1.680526324E-3,-1.456366003E-2,1.985190048E-2
1.279644958E0,1.020547438E-2,8.521604184E-3,-3.223336101E-2,3.486773590E-2
1.289643958E0,1.496603983E-2,2.559180111E-3,-2.055881023E-2,2.555770782E-2
1.299642958E0,1.072339151E-2,-9.796790555E-3,-1.547757983E-3,1.460697729E-2
1.309641958E0,1.225837698E-2,-1.181857500E-2,-2.100495279E-2,2.703986988E-2
1.319639958E0,2.297955751E-2,1.360842599E-2,-2.594175696E-2,3.723203024E-2
1.329638958E0,2.063920945E-3,-2.226199452E-3,-3.462662637E-2,3.475944458E-2
1.339637958E0,-3.200765848E-3,2.444362722E-2,-2.579616129E-2,3.568161643E-2
1.349636958E0,8.580460064E-3,8.548958190E-3,-7.837607861E-3,1.442695664E-2
1.359635958E0,1.700006688E-2,-1.543719750E-3,-1.157397866E-2,2.062382910E-2
1.369633958E0,1.242235484E-2,1.107300019E-2,-1.381521642E-2,2.162837113E-2
1.379632958E0,1.187869169E-2,-4.018462412E-3,-2.773919106E-2,3.044197886E-2
1.389631958E0,8.618686236E-3,-5.555932950E-3,-3.342560828E-2,3.496314391E-2
1.399630958E0,7.078694087E-3,2.878182270E-3,-2.639199257E-2,2.747597341E-2
1.409629958E0,2.446500611E-2,-1.276074417E-2,-2.310001016E-2,3.598588035E-2
1.419628958E0,1.947433446E-2,7.774037663E-3,-2.399989665E-2,3.186974118E-2
1.429626958E0,1.031013954E-2,1.051603463E-3,-1.846258342E-2,2.117243099E-2
1.439625958E0,8.213931005E-3,-1.882015893E-2,-3.762332439E-2,4.286235625E-2
1.449624958E0,-9.613882340E-3,-9.133222941E-3,-3.268008828E-2,3.526798357E-2
1.459623958E0,1.475464471E-2,-4.059246741E-4,-1.755626500E-2,2.293658117E-2
1.469622958E0,2.013183558E-2,3.513683248E-3,-1.411050081E-2,2.483431109E-2
1.479621958E0,1.860076044E-2,4.559695311E-3,-1.081793368E-2,2.199560864E-2
1.489619958E0,2.004681341E-4,-2.181824567E-2,-1.740949988E-2,2.791355795E-2
1.499618958E0,3.155011386E-3,-9.852704555E-3,-3.851677895E-2,3.988197769E-2
