"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.649582017E-4,-3.944422044E-3,1.352975353E-2,-5.503867149E-2,5.681432967E-2
1.056395820E-2,-1.906868387E-2,2.028901605E-2,-4.814188063E-2,5.561384313E-2
2.056195820E-2,-2.713619694E-2,3.167363629E-4,-4.768638253E-2,5.486770075E-2
3.055995819E-2,-3.134648457E-2,-1.009132577E-2,-2.956176817E-2,4.425307999E-2
4.055895819E-2,-4.362381019E-2,-9.565862082E-4,-7.845209241E-3,4.433395065E-2
5.055695819E-2,-4.698153723E-2,-7.775919735E-3,-6.186354160E-3,4.802083658E-2
6.055495818E-2,-4.714763470E-2,-5.755935134E-3,-1.516241491E-2,4.985909218E-2
7.055395818E-2,-6.085741851E-2,8.337873705E-3,-1.201661289E-2,6.259029087E-2
8.055195818E-2,-5.780539121E-2,1.269372046E-2,-2.383968294E-2,6.380379515E-2
9.055095818E-2,-5.166479152E-2,1.614171389E-2,-4.315654457E-2,6.922638911E-2
1.005489582E-1,-4.722807046E-2,1.682738216E-2,-3.598201096E-2,6.171188332E-2
1.105469582E-1,-3.812070318E-2,2.639340869E-2,-3.105748594E-2,5.580651813E-2
1.205459582E-1,-2.799895361E-2,3.173912510E-2,-6.961694956E-3,4.289264112E-2
1.305439582E-1,-1.248705793E-2,2.586641011E-2,6.653546691E-3,2.948334227E-2
1.405429582E-1,9.414565377E-3,2.484615320E-2,-3.235264421E-3,2.676625312E-2
1.505409582E-1,1.802736785E-2,6.127452599E-3,-2.823152661E-2,3.405217705E-2
1.605389582E-1,1.195028353E-2,-7.182902433E-3,-5.337630808E-2,5.516732392E-2
1.705379582E-1,3.898484856E-3,-1.244757095E-2,-3.960728467E-2,4.169984659E-2
1.805359581E-1,-1.643659629E-2,-1.845384914E-2,-4.289458930E-2,4.950406082E-2
1.905349582E-1,-3.024647713E-2,-1.996893581E-2,-3.073881269E-3,3.637384393E-2
2.005329581E-1,-4.776597776E-2,4.141052943E-3,1.235048890E-2,4.951031737E-2
2.105309581E-1,-6.414300554E-2,1.834351949E-2,4.721041918E-3,6.688122385E-2
2.205299581E-1,-5.181170281E-2,2.005824289E-2,-4.118193984E-3,5.571126617E-2
2.305279581E-1,-4.031629611E-2,1.204311722E-2,-3.002369821E-2,5.169006538E-2
2.405269581E-1,-2.987375367E-2,-2.018952202E-3,-4.379681468E-2,5.305354185E-2
2.505249581E-1,-2.063953836E-2,-9.188223314E-3,-5.457674146E-2,5.906805143E-2
2.605229581E-1,-2.088698521E-2,-2.382917622E-2,-3.138025224E-2,4.459614357E-2
2.705219581E-1,-1.795047697E-2,-2.719861597E-2,-1.520860791E-2,3.596228703E-2
2.805199581E-1,-2.992001977E-2,-3.178910966E-2,3.520023823E-4,4.365637389E-2
2.905189581E-1,-2.763686478E-2,-2.313503863E-2,-4.150938392E-3,3.628025078E-2
3.005169581E-1,-2.573549643E-2,-1.324416272E-2,-1.373101652E-2,3.203536230E-2
3.105149581E-1,-3.044908315E-2,-2.409363482E-3,-2.032141328E-2,3.668666699E-2
3.205139581E-1,-1.966966800E-2,-1.959137013E-3,-2.810522676E-2,3.436041077E-2
3.305119583E-1,-8.899316043E-3,7.846835498E-3,-5.370141327E-2,5.499647662E-2
3.405099583E-1,4.774361216E-3,4.758244827E-3,-6.177875698E-2,6.214539591E-2
3.505089583E-1,2.334354669E-3,3.067613784E-3,-5.308920979E-2,5.322897390E-2
3.605069583E-1,6.873438545E-3,6.162983570E-3,-2.569325030E-2,2.730145847E-2
3.705059583E-1,-2.021017000E-3,1.029208627E-2,-2.104763746E-2,2.351626229E-2
3.805039583E-1,-1.205900520E-2,1.612927943E-2,-1.625116646E-2,2.587805388E-2
3.905019583E-1,-1.810188331E-2,9.181462470E-3,-4.719872475E-3,2.083877704E-2
4.005009583E-1,-3.938604064E-2,6.413043402E-3,7.404913902E-3,4.058595906E-2
4.104989583E-1,-3.947831701E-2,8.725306559E-3,-9.064353704E-3,4.143465937E-2
4.204979583E-1,-4.741865315E-2,-8.726667864E-3,-3.495933294E-2,5.955533862E-2
4.304959583E-1,-5.762920730E-2,4.402642753E-3,-3.585629582E-2,6.801604772E-2
