"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.272499984E-3,6.318172328E-3,-2.888135327E-2,-4.254434109E-2,5.180803825E-2
1.527149999E-2,8.383408897E-3,-2.511936435E-2,-4.596730113E-2,5.304956912E-2
2.526949998E-2,3.333461098E-3,-8.255866505E-3,-3.290812969E-3,9.492141204E-3
3.526849998E-2,2.054419219E-3,-2.568535656E-3,1.738435686E-2,1.769276341E-2
4.526649998E-2,3.272284605E-3,5.228306148E-3,7.846963406E-4,6.217618520E-3
5.526549998E-2,1.113766674E-2,1.008865798E-2,-1.911337852E-2,2.431357396E-2
6.526449998E-2,1.947992586E-2,1.075028870E-2,-3.048562825E-2,3.774135329E-2
7.526249997E-2,3.776413266E-2,-5.515916068E-3,-4.558898628E-2,5.945511513E-2
8.526149997E-2,2.523548640E-2,-1.191768531E-2,-3.359751642E-2,4.367669981E-2
9.525949997E-2,1.131567791E-2,-9.820837229E-3,-1.397367597E-2,2.048797283E-2
1.052585000E-1,-3.299181797E-3,-1.770701353E-3,-9.172527194E-3,9.907332584E-3
1.152565000E-1,-2.094231449E-2,3.740737941E-3,8.948578835E-3,2.307922702E-2
1.252555000E-1,-3.005001068E-2,1.147053776E-2,1.539513409E-2,3.565931200E-2
1.352535000E-1,-2.246043440E-2,7.941249758E-4,2.677440047E-3,2.263339199E-2
1.452525000E-1,-1.209149379E-2,2.005503606E-3,1.331995726E-3,1.232884745E-2
1.552515000E-1,-7.187068574E-3,-2.771397494E-3,-1.797960341E-2,1.956018245E-2
1.652495000E-1,-9.660660066E-3,-6.053074189E-3,-3.535518944E-2,3.714777895E-2
1.752485000E-1,6.690676510E-4,-1.146184003E-2,-5.347512603E-2,5.469378879E-2
1.852465000E-1,1.302982572E-2,-1.687716572E-2,-5.003228545E-2,5.438607054E-2
1.952455000E-1,1.357694238E-2,5.067672171E-3,-2.637562037E-2,3.009465094E-2
2.052434999E-1,1.865937877E-2,1.984144824E-2,-4.373717308E-3,2.758595453E-2
2.152425000E-1,2.356921267E-2,1.887461113E-2,1.044312716E-2,3.195023687E-2
2.252404999E-1,3.178418521E-2,2.057395818E-2,5.950711370E-3,3.832666370E-2
2.352394999E-1,3.109823372E-2,1.224882044E-3,-2.054302275E-2,3.729096754E-2
2.452384999E-1,2.845002975E-2,-1.666003302E-2,-5.048719883E-2,6.029857493E-2
2.552364999E-1,2.565630320E-2,-2.796597166E-2,-7.967532992E-2,8.825247681E-2
2.652354999E-1,1.932354938E-2,-3.785392396E-2,-7.697800934E-2,8.793141101E-2
2.752334999E-1,1.648549363E-4,-2.065137897E-2,-2.832917511E-2,3.505779219E-2
2.852324999E-1,1.972229294E-3,-2.158225570E-3,1.703352392E-2,1.728260869E-2
2.952304999E-1,4.014113545E-4,3.495995421E-3,1.943029761E-2,1.974638145E-2
3.052294999E-1,-1.464837156E-3,1.699529774E-2,2.437119484E-2,2.974795844E-2
3.152274999E-1,2.162994705E-3,1.589368232E-2,1.075712264E-2,1.931329519E-2
3.252264999E-1,4.987236410E-3,-1.658836808E-3,-1.977996111E-2,2.046634134E-2
3.352254999E-1,-2.525448985E-3,-1.512181330E-2,-3.475760400E-2,3.798865839E-2
3.452234999E-1,-4.348208830E-3,-3.257580684E-2,-3.999904811E-2,5.176885127E-2
3.552224999E-1,-1.085177444E-2,-3.783671122E-2,-4.539368927E-2,6.008298220E-2
3.652204999E-1,-2.413102046E-2,-2.622750308E-2,-2.534183264E-2,4.373095640E-2
3.752194999E-1,-2.089469623E-2,6.769065745E-4,-2.863732338E-2,3.545620994E-2
3.852174999E-1,-3.844763562E-3,4.433157910E-3,-2.804441571E-2,2.865177741E-2
3.952164999E-1,9.007928073E-3,2.446365394E-3,-2.625575244E-2,2.786560619E-2
4.052144999E-1,3.002457529E-2,-6.208774578E-3,-2.910217702E-2,4.227245806E-2
4.152134999E-1,4.758179046E-2,-1.145111404E-2,-3.014532030E-2,5.747951924E-2
4.252124999E-1,6.927737251E-2,-1.879806742E-2,-1.592547655E-2,7.352783476E-2
4.352104999E-1,7.170330919E-2,-2.009578384E-3,-1.127635539E-2,7.261238975E-2
4.452094999E-1,6.363919482E-2,4.723526984E-3,-7.516011000E-3,6.425534410E-2
4.552074999E-1,4.346224431E-2,1.809614573E-2,-7.613074780E-4,4.708520744E-2
4.652064999E-1,1.423957810E-2,2.654475108E-2,-1.046943963E-2,3.189041487E-2
4.752044999E-1,-3.455412090E-3,1.101366922E-2,-1.689319074E-2,2.046022179E-2
4.852034999E-1,-4.812104993E-2,-6.772044171E-3,-2.601250827E-2,5.511938511E-2
4.952014999E-1,-7.405089319E-2,-1.089818671E-2,-4.590649009E-2,8.780496050E-2
5.052004999E-1,-8.292163096E-2,4.738199841E-3,-4.395410478E-2,9.397026523E-2
5.151994999E-1,-7.170140885E-2,1.274099154E-2,-1.627046227E-2,7.462005655E-2
5.251974999E-1,-5.180943701E-2,2.498778373E-2,1.424849510E-2,5.925898001E-2
5.351964999E-1,-1.586225353E-2,2.913802776E-2,2.875017464E-2,4.389998054E-2
5.451944999E-1,1.374092024E-2,4.378771495E-2,2.588737786E-2,5.269092144E-2
5.551934999E-1,5.919077933E-2,4.869486278E-2,4.144272566E-2,8.713344667E-2
5.651914999E-1,7.168989714E-2,3.493208857E-2,5.415749609E-2,9.639878914E-2
5.751904999E-1,6.386895385E-2,2.779744394E-2,3.110777199E-2,7.628652983E-2
5.851884999E-1,4.073554147E-2,1.774112837E-2,-7.308668733E-2,8.553242566E-2
5.951874999E-1,6.840986498E-3,2.570856269E-3,-2.015219486E-1,2.016544176E-1
6.051864999E-1,-2.077607084E-2,1.728204885E-2,-2.702337492E-1,2.715816516E-1
6.151844999E-1,-4.593448363E-2,4.457844123E-2,-2.016798234E-1,2.115938689E-1
6.251831665E-1,-6.419687301E-2,6.391401395E-2,-1.727384448E-2,9.222052584E-2
6.351811665E-1,-4.015096609E-2,6.421061397E-2,1.340345550E-1,1.539492285E-1
6.451801665E-1,1.873118989E-3,4.633244148E-2,2.119943118E-1,2.170064330E-1
6.551781665E-1,6.543955252E-2,1.022826025E-2,1.646564233E-1,1.774787032E-1
6.651771665E-1,1.344502189E-1,-5.587085819E-2,-5.810553610E-2,1.567630935E-1
6.751751665E-1,1.567956093E-1,-6.974664811E-2,-2.441744632E-1,2.984470246E-1
6.851741665E-1,1.431007725E-1,-7.331032505E-2,-2.487961024E-1,2.962291941E-1
6.951731665E-1,7.820267212E-2,-7.628834853E-2,-1.091113830E-1,1.544048702E-1
7.051711665E-1,-6.429707967E-3,-7.198653370E-3,7.114716589E-2,7.179889254E-2
7.151701665E-1,-9.165704224E-2,5.576781929E-3,2.199646515E-1,2.383622491E-1
7.251681664E-1,-1.497471929E-1,4.199854005E-2,2.204224885E-1,2.697668856E-1
7.351671665E-1,-1.501092451E-1,6.435323121E-2,1.067982244E-1,1.951409352E-1
7.451651667E-1,-1.196183544E-1,-2.356416944E-2,-4.096091509E-2,1.286142191E-1
7.551641667E-1,-7.748192970E-2,-7.244861905E-2,-1.617988890E-1,1.934712700E-1
7.651621667E-1,-2.604649521E-2,-9.484863527E-2,-2.142355496E-1,2.357361963E-1
7.751611667E-1,2.199612893E-2,-1.639734868E-1,-1.403273284E-1,2.169398377E-1
7.851601667E-1,5.302065119E-2,-1.357559844E-1,5.445511937E-3,1.458441989E-1
7.951581667E-1,7.503925536E-2,-4.817759433E-2,1.138002652E-1,1.445768681E-1
8.051571667E-1,9.695176911E-2,-1.797327197E-2,1.311577249E-1,1.640884908E-1
8.151551667E-1,1.260498165E-1,4.171518764E-2,4.552875996E-2,1.403623208E-1
8.251541667E-1,1.378559662E-1,6.517788962E-2,-6.224010229E-2,1.647005010E-1
8.351521667E-1,1.303892911E-1,7.891731150E-3,-1.447010458E-1,1.949411175E-1
8.451511667E-1,1.090320070E-1,-1.093221020E-2,-2.049992877E-1,2.324482733E-1
8.551491667E-1,5.029756632E-2,-2.778428771E-2,-1.197977543E-1,1.328657734E-1
8.651481667E-1,-2.373786829E-3,-4.256060366E-2,-1.567053795E-4,4.262703842E-2
8.751461667E-1,-5.072455924E-2,-9.098450281E-4,6.289382100E-2,8.080495930E-2
8.851451667E-1,-7.007767361E-2,2.001971522E-2,8.746557534E-2,1.138503237E-1
8.951441667E-1,-7.630305793E-2,3.142763296E-2,5.873235762E-2,1.012884129E-1
9.051421667E-1,-7.033557236E-2,2.909684144E-2,-1.490396798E-2,7.756189259E-2
9.151411667E-1,-7.082805410E-2,2.133162942E-2,-5.472175241E-2,9.201153106E-2
9.251391666E-1,-6.731362168E-2,1.486698434E-2,-7.314165115E-2,1.005079699E-1
9.351381666E-1,-6.225157745E-2,8.864214476E-3,-6.747686863E-2,9.223318814E-2
9.451361666E-1,-3.283869401E-2,1.264747264E-2,-1.929639637E-2,4.013339384E-2
9.551351666E-1,-1.120300937E-2,4.080907021E-2,9.425126910E-3,4.335574527E-2
9.651331666E-1,2.221960220E-2,5.212675810E-2,1.359477639E-2,5.827287171E-2
9.751321666E-1,4.793357357E-2,6.488154542E-2,-1.636460245E-2,8.231064709E-2
9.851311666E-1,9.095848270E-2,6.796019582E-2,-6.053797781E-2,1.286735425E-1
9.951291666E-1,1.274287727E-1,3.704370087E-2,-7.312060118E-2,1.515155114E-1
1.005128167E0,1.111388319E-1,5.602929946E-3,-7.910639584E-2,1.365322476E-1
1.015126167E0,8.107215665E-2,-9.782117698E-3,-4.168304622E-2,9.168348135E-2
1.025125167E0,5.570876241E-2,-4.250506424E-2,8.419990540E-4,7.007749751E-2
1.035123167E0,3.148879118E-2,-3.592728468E-2,3.543178797E-2,5.947878069E-2
1.045122167E0,-1.466810592E-3,-1.987358051E-2,2.585989594E-2,3.264728096E-2
1.055120167E0,-2.421010405E-2,9.603128945E-3,-3.617672324E-3,2.629518543E-2
1.065119167E0,-2.688725173E-2,5.254947525E-3,-4.462127209E-2,5.236025880E-2
1.075118167E0,-3.579570405E-2,1.548410313E-2,-6.887259901E-2,7.914875092E-2
1.085116167E0,-5.348784372E-2,3.688926129E-3,-7.786035419E-2,9.453460930E-2
1.095115167E0,-5.120633326E-2,-1.831238307E-2,-7.846904933E-2,9.547158553E-2
1.105113167E0,-4.813084401E-2,-2.152996880E-2,-5.723020792E-2,7.781654323E-2
1.115112167E0,-3.379654102E-2,-1.030610131E-2,-8.602423668E-3,3.636514268E-2
1.125110167E0,1.353995875E-4,2.205575226E-2,5.892823935E-3,2.282980321E-2
1.135109167E0,3.506429046E-2,3.456768827E-2,-2.466414034E-2,5.507040364E-2
1.145107167E0,7.168598682E-2,8.855361426E-3,2.112072766E-2,7.525545342E-2
1.155106167E0,9.274732869E-2,-2.502965528E-2,1.817262000E-1,2.055552538E-1
1.165104167E0,7.945313573E-2,-6.449578450E-2,2.920485413E-1,3.094589754E-1
