"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710695079426406E9,"2024-03-17 19:04:39.426 UTC+02:00"
"PAUSE",5.244973533332814E1,1.710695131875575E9,"2024-03-17 19:05:31.876 UTC+02:00"
