"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.085174999E-2,-9.309615165E-2,3.364128831E-2,-3.015409112E-2,1.034789783E-1
4.084974999E-2,-1.063551517E-1,2.647142791E-2,-2.222760558E-2,1.118312176E-1
5.084874999E-2,-1.134316713E-1,3.033344989E-2,-2.522547305E-2,1.200965725E-1
6.084674998E-2,-1.228291702E-1,2.014669573E-2,-4.737706482E-2,1.331821334E-1
7.084474998E-2,-1.304900459E-1,1.165371093E-2,-4.992469668E-2,1.401996305E-1
8.084374998E-2,-1.282220571E-1,-8.644117056E-3,-3.779874086E-2,1.339565658E-1
9.084175003E-2,-1.248130573E-1,-2.221513000E-2,-2.326957941E-2,1.288925312E-1
1.008397500E-1,-1.131673041E-1,-2.510921395E-2,-2.641538143E-2,1.188910582E-1
1.108377500E-1,-9.801709525E-2,-3.133588193E-2,-3.045405328E-2,1.073160651E-1
1.208367500E-1,-9.734663889E-2,-4.629728052E-2,-4.481773853E-2,1.167408925E-1
1.308347500E-1,-1.055771796E-1,-5.042714153E-2,-4.870906055E-2,1.267359856E-1
1.408327500E-1,-1.007449675E-1,-5.065572198E-2,-3.644277155E-2,1.185058068E-1
1.508317500E-1,-1.207702924E-1,-4.325507015E-2,-2.536288261E-2,1.307659759E-1
1.608297500E-1,-1.209087253E-1,-2.344525170E-2,-2.386482596E-2,1.254517022E-1
1.708277500E-1,-1.329045805E-1,-3.186119487E-2,-2.341634452E-2,1.386617772E-1
1.808267500E-1,-1.336030304E-1,-1.476299069E-2,-4.511594653E-2,1.417856279E-1
1.908247500E-1,-1.221112783E-1,1.169304259E-2,-5.245244801E-2,1.334134582E-1
2.008227500E-1,-1.088204840E-1,7.731782394E-3,-4.257474661E-2,1.171080153E-1
2.108217500E-1,-1.021474953E-1,3.126119288E-2,-4.017212570E-2,1.141278785E-1
2.208197500E-1,-9.554657355E-2,2.768559310E-2,-3.102766514E-2,1.042034346E-1
2.308177500E-1,-9.135930933E-2,3.614546805E-2,-4.763200343E-2,1.091871147E-1
2.408167500E-1,-9.699295543E-2,4.080389451E-2,-4.792728782E-2,1.156270562E-1
2.508147500E-1,-1.094693056E-1,4.444194986E-2,-3.715379298E-2,1.238507978E-1
2.608127500E-1,-1.181278626E-1,4.482498360E-2,-2.308188379E-2,1.284377064E-1
2.708117500E-1,-1.234142572E-1,4.054895591E-2,-2.428348660E-2,1.321551528E-1
2.808097500E-1,-1.343893348E-1,3.007245851E-2,-3.895648956E-2,1.431169247E-1
2.908077500E-1,-1.349622157E-1,3.199861357E-2,-5.212792754E-2,1.481756787E-1
3.008067500E-1,-1.223243362E-1,2.324829189E-2,-4.494988561E-2,1.323790713E-1
3.108047500E-1,-1.086586623E-1,8.200528091E-3,-2.758307040E-2,1.124045343E-1
3.208027500E-1,-9.452499188E-2,1.259021561E-2,-2.712991118E-2,9.914393426E-2
3.308017500E-1,-1.002835491E-1,-1.670584687E-2,-2.936997950E-2,1.058228295E-1
3.407997500E-1,-9.931810074E-2,-1.532423660E-2,-2.966467917E-2,1.047802966E-1
3.507977500E-1,-1.125215522E-1,-1.863870339E-2,-4.851668715E-2,1.239450278E-1
3.607957500E-1,-1.279707731E-1,-1.921652250E-2,-5.180106819E-2,1.393884649E-1
3.707947500E-1,-1.356364728E-1,-2.609043156E-2,-2.231531382E-2,1.399140329E-1
3.807927500E-1,-1.328345601E-1,-2.235971154E-2,-2.306785047E-2,1.366641972E-1
3.907907500E-1,-1.338681286E-1,-3.610313055E-2,-3.086218894E-2,1.420443121E-1
4.007897500E-1,-1.278560945E-1,-2.093381319E-2,-5.377450347E-2,1.402750964E-1
4.107877500E-1,-1.178796483E-1,-1.910630705E-2,-5.901828647E-2,1.332059330E-1
4.207857500E-1,-9.839811444E-2,-1.105063916E-2,-4.195260286E-2,1.075375583E-1
4.307847500E-1,-8.319827735E-2,2.581970547E-3,-1.396607459E-2,8.440184338E-2
4.407827500E-1,-8.566806816E-2,1.018728863E-2,-1.291299105E-2,8.723270080E-2
4.507807500E-1,-1.036678445E-1,2.425013920E-2,-3.191527247E-2,1.111470910E-1
4.607797500E-1,-1.324677204E-1,2.548467829E-3,-5.735533834E-2,1.443739121E-1
4.707777500E-1,-1.386167255E-1,1.285125724E-2,-4.821321666E-2,1.473236765E-1
4.807757500E-1,-1.424571037E-1,1.071931216E-2,-4.192278206E-2,1.488840142E-1
4.907747500E-1,-1.372182177E-1,6.728774775E-3,-3.638488412E-2,1.421195816E-1
5.007727500E-1,-1.183418707E-1,1.536526761E-2,-3.338994026E-2,1.239184325E-1
5.107707500E-1,-9.845600188E-2,2.167050754E-2,-3.997799814E-2,1.084501523E-1
5.207697500E-1,-8.974116549E-2,8.385957917E-4,-2.711470842E-2,9.375173299E-2
5.307677500E-1,-9.044005394E-2,7.129386705E-3,-2.172240615E-2,9.328501723E-2
5.407657500E-1,-9.085527934E-2,-3.923070570E-4,-2.021207035E-2,9.307719096E-2
5.507637500E-1,-1.251608936E-1,3.535674261E-3,-4.026100338E-2,1.315245174E-1
5.607627500E-1,-1.483108974E-1,-3.121974617E-2,-4.759165764E-2,1.588576744E-1
5.707607500E-1,-1.577688418E-1,-1.748947426E-2,-5.701210678E-2,1.686631835E-1
5.807587500E-1,-1.439804495E-1,-1.044196685E-2,-3.620420516E-2,1.488292612E-1
5.907577500E-1,-1.252051862E-1,-1.117451333E-2,-2.169083118E-2,1.275605761E-1
6.007557500E-1,-1.103327201E-1,-8.415477220E-3,-1.689611435E-2,1.119357319E-1
6.107537500E-1,-9.600499526E-2,-6.012093429E-3,-2.528160632E-2,9.945986125E-2
6.207527500E-1,-9.352789544E-2,-1.235919577E-2,-4.115328848E-2,1.029262362E-1
6.307507500E-1,-1.058927100E-1,-8.219988355E-3,-5.536845446E-2,1.197768759E-1
6.407487500E-1,-1.251258834E-1,-9.084238806E-3,-4.069311261E-2,1.318898764E-1
6.507477500E-1,-1.329164942E-1,-1.254780502E-3,-2.406597018E-2,1.350834551E-1
6.607457500E-1,-1.353175803E-1,6.892149635E-3,-1.971330285E-2,1.369195514E-1
