"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.657749992E-3,6.104438324E-3,-3.453062240E-2,-1.825910032E-2,3.953508309E-2
1.165674999E-2,7.322979793E-3,-4.331591774E-2,1.843334734E-2,4.764119076E-2
2.165575000E-2,1.330617975E-2,-3.032773515E-2,-4.338750958E-2,5.458298203E-2
3.165374999E-2,1.691274237E-2,-3.262870587E-2,-1.917886734E-3,3.680151615E-2
4.165274999E-2,5.026942659E-3,-4.474735267E-2,-3.529671729E-2,5.721410643E-2
5.165174999E-2,8.175375927E-3,-4.536445320E-2,-4.428505719E-2,6.392133193E-2
6.164974999E-2,2.862460569E-2,-4.037396427E-2,-3.036283672E-2,5.806312854E-2
7.164874999E-2,2.024004562E-2,-3.423796926E-2,-1.898298562E-2,4.407098511E-2
8.164774999E-2,1.719176419E-2,-2.582685918E-2,-3.570894599E-3,3.123034901E-2
9.164574998E-2,1.804995272E-2,-2.637943933E-2,-1.809303939E-2,3.672919393E-2
1.016447500E-1,5.132631082E-3,-1.489008084E-2,-5.087486923E-2,5.325702515E-2
1.116437500E-1,2.700353824E-3,-4.918860532E-3,-4.818339586E-2,4.850903768E-2
1.216417500E-1,3.919315562E-3,-9.759459738E-3,-3.381561756E-2,3.541333195E-2
1.316407500E-1,2.329548988E-2,-1.607198585E-2,-1.136406362E-2,3.049804125E-2
1.416397500E-1,2.850835573E-2,-8.507223688E-3,-5.978193283E-3,3.034531259E-2
1.516377500E-1,7.061883342E-3,-1.635457082E-2,-2.394376338E-2,2.984369259E-2
1.616367500E-1,1.993900537E-3,-9.781130981E-3,-4.550186276E-2,4.658396374E-2
1.716357500E-1,9.096897114E-3,-9.102031700E-3,-3.352734983E-2,3.591216653E-2
1.816337500E-1,9.900468998E-3,-2.307053654E-2,-2.170369506E-2,3.318613146E-2
1.916327500E-1,2.002797442E-2,-2.094922151E-2,-2.126047611E-2,3.594436654E-2
2.016317500E-1,3.096170124E-2,-1.522479739E-2,-1.707386971E-2,3.849595337E-2
2.116297500E-1,1.062369648E-2,-3.387299336E-2,-2.845839858E-2,4.549860499E-2
2.216287500E-1,8.928807937E-3,-4.874620864E-2,-2.187618792E-2,5.417087839E-2
2.316277500E-1,1.325540034E-2,-3.728217591E-2,-2.426945329E-2,4.641845152E-2
2.416257500E-1,1.195503440E-2,-3.818736143E-2,-8.401279449E-3,4.088739313E-2
2.516247500E-1,2.061362788E-2,-3.989703247E-2,1.016129136E-2,4.604287889E-2
2.616237500E-1,1.210344404E-2,-2.903495232E-2,-1.528754532E-2,3.497471738E-2
2.716217500E-1,4.992316179E-3,-3.194417965E-2,-3.668952405E-2,4.890270963E-2
2.816207500E-1,7.821199112E-3,-3.264425581E-2,-4.626726329E-2,5.716186006E-2
2.916197500E-1,1.897130946E-2,-3.352550430E-2,-4.312613904E-2,5.782502823E-2
3.016177500E-1,1.686545301E-2,-3.309624558E-2,-1.992438734E-2,4.215194168E-2
3.116167500E-1,2.293676320E-2,-1.781109396E-2,4.350328445E-4,2.904340593E-2
3.216157500E-1,1.388757572E-2,-1.441512248E-2,-6.001582146E-3,2.089687784E-2
3.316137500E-1,4.481653254E-3,-3.413275592E-3,-2.217322648E-2,2.287766681E-2
3.416127500E-1,3.868079334E-3,5.356597714E-4,-2.172591448E-2,2.207406462E-2
3.516117500E-1,-2.022661529E-3,-1.870093055E-2,-3.116332054E-2,3.640011690E-2
3.616097500E-1,8.865018468E-3,-7.502836492E-3,-3.700936675E-2,3.878884292E-2
3.716087500E-1,8.663106803E-3,-8.408917375E-3,-2.144700229E-2,2.461164802E-2
3.816077500E-1,2.014448019E-2,-9.778682459E-3,-8.577865362E-3,2.397920947E-2
3.916057500E-1,2.469416214E-2,-1.330488240E-2,-2.279887855E-2,3.614706631E-2
4.016047500E-1,2.028269375E-2,-2.142871147E-2,-2.729012489E-2,4.019114651E-2
4.116037500E-1,2.629991719E-2,-9.695670269E-3,-2.759067178E-2,3.933111790E-2
4.216015000E-1,1.296585353E-2,-1.002444824E-2,-2.280355632E-2,2.808211355E-2
