"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710698147554987E9,"2024-03-17 19:55:47.555 UTC+02:00"
"PAUSE",3.675600624998333E1,1.710698184310079E9,"2024-03-17 19:56:24.310 UTC+02:00"
