"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.705472086068796E9,"2024-01-17 08:14:46.069 UTC+02:00"
"PAUSE",3.603067675000057E1,1.705472122099056E9,"2024-01-17 08:15:22.099 UTC+02:00"
