"property","value"
"version","1.1.12"
"build","11156"
"fileFormat","1.16"
"deviceModel","iPhone13,4"
"deviceBrand","Apple"
"deviceBoard",""
"deviceManufacturer",""
"deviceBaseOS",""
"deviceCodename",""
"deviceRelease","17.2.1"
"depthFrontSensor","1"
"depthFrontResolution",""
"depthFrontRate",""
"depthBackSensor","1"
"depthBackResolution",""
"depthBackRate",""
