"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.302999994E-3,-3.894671375E-2,-1.409242926E-2,-1.367254436E-2,4.361629906E-2
1.430200000E-2,-4.475319989E-2,-6.672180123E-3,-9.926233292E-3,4.632382751E-2
2.429999999E-2,-4.638782557E-2,5.609686221E-3,-2.459221959E-2,5.280223674E-2
3.429899999E-2,-4.021488346E-2,-7.081622262E-3,-2.473839998E-2,4.774279694E-2
4.429699999E-2,-4.094066910E-2,-2.005553399E-2,-2.817714751E-2,5.359397794E-2
5.429599999E-2,-4.695264833E-2,-1.639952129E-2,-2.682644069E-2,5.650799416E-2
6.429399998E-2,-4.651922347E-2,-2.008847939E-2,-2.847360134E-2,5.812341292E-2
7.429299998E-2,-4.610416252E-2,-1.310633746E-2,-3.131242454E-2,5.725240444E-2
8.429099998E-2,-4.877062077E-2,-1.813964810E-2,-2.187794209E-2,5.644700730E-2
9.428900000E-2,-4.076220112E-2,-2.405116485E-2,-5.411013365E-3,4.763711406E-2
1.042880000E-1,-4.230529960E-2,-1.996007819E-2,-1.988053322E-5,4.677759604E-2
1.142860000E-1,-4.477088772E-2,-2.831311811E-2,-1.708205581E-2,5.565843759E-2
1.242850000E-1,-3.147437414E-2,-2.427008826E-2,-2.216854870E-2,4.550953706E-2
1.342830000E-1,-4.385581674E-2,-1.957168603E-2,-2.770586193E-2,5.544365014E-2
1.442820000E-1,-3.845220376E-2,-1.738111348E-2,-2.186449349E-2,4.752611025E-2
1.542800000E-1,-4.914670637E-2,-1.337144473E-2,-4.199470282E-3,5.110606453E-2
1.642790000E-1,-4.131876469E-2,-8.827148611E-3,-3.058093786E-4,4.225224713E-2
1.742770000E-1,-4.678465052E-2,-6.158808293E-3,-1.318079352E-2,4.899456869E-2
1.842760000E-1,-5.004359616E-2,2.568800608E-3,-2.620312750E-2,5.654700827E-2
1.942740000E-1,-5.896812832E-2,-8.724278728E-3,-1.677215338E-2,6.192461809E-2
2.042730000E-1,-5.101757783E-2,2.133658128E-3,-1.737090826E-2,5.393601949E-2
2.142710000E-1,-3.822069056E-2,4.395155576E-3,-1.557288945E-2,4.150486074E-2
2.242700000E-1,-4.524228293E-2,1.932212412E-3,-2.455421269E-2,5.151220215E-2
2.342680000E-1,-4.027224099E-2,1.173662719E-2,-3.008918703E-2,5.162326015E-2
2.442670000E-1,-3.338392859E-2,9.627171052E-3,-6.435445547E-3,3.533530911E-2
2.542650000E-1,-3.838923655E-2,9.262428135E-3,-1.361582637E-2,4.177220111E-2
2.642640000E-1,-3.946139663E-2,-3.022357249E-3,-3.306951284E-2,5.157450094E-2
2.742620000E-1,-4.548041079E-2,-9.163537100E-3,-1.914612293E-2,5.018976192E-2
2.842610000E-1,-4.193336187E-2,-1.101907333E-2,-1.060860336E-2,4.463596397E-2
2.942590000E-1,-4.650466025E-2,-1.391912784E-2,-7.168101668E-3,4.906941233E-2
3.042580000E-1,-5.207469961E-2,-1.897267076E-2,-3.171529770E-2,6.385606223E-2
3.142560000E-1,-4.677207900E-2,-1.997129297E-2,-3.081541121E-2,5.946485925E-2
3.242550000E-1,-5.225320414E-2,-2.170778811E-2,-1.734167218E-2,5.918073167E-2
3.342530000E-1,-4.336737324E-2,-2.085984134E-2,-2.407649517E-2,5.381021893E-2
3.442520000E-1,-5.064545738E-2,-2.459485084E-2,-2.033310771E-2,5.986070756E-2
3.542500000E-1,-4.424430940E-2,-2.288299623E-2,-4.014698267E-3,4.997307508E-2
3.642490000E-1,-4.627809891E-2,-1.794746200E-2,-1.164356053E-2,5.098378500E-2
3.742470000E-1,-3.949690020E-2,-2.509944728E-2,-1.628274143E-2,4.954911752E-2
3.842460000E-1,-3.670238793E-2,-2.326321600E-2,-3.289877415E-2,5.450295257E-2
3.942440000E-1,-4.059350895E-2,-1.556603267E-2,-2.900628269E-2,5.226374247E-2
4.042430000E-1,-4.985617463E-2,-6.202580184E-3,-3.678951144E-2,6.227020396E-2
4.142410000E-1,-3.697008077E-2,-7.193436557E-3,-5.370316744E-2,6.559392193E-2
4.242400000E-1,-4.730711751E-2,-7.811555774E-3,-4.891078949E-2,6.849269376E-2
4.342380000E-1,-4.220644511E-2,4.632858597E-3,-3.034587979E-2,5.218926909E-2
4.442370000E-1,-4.727345947E-2,1.406402458E-2,-3.273739100E-2,5.919724256E-2
4.542350000E-1,-4.624318007E-2,1.043240117E-2,-3.498096764E-2,5.891463990E-2
4.642340000E-1,-4.496786579E-2,1.321327755E-2,-4.261450768E-2,6.334584376E-2
4.742320000E-1,-4.524368992E-2,1.135191694E-2,-7.973497152E-2,9.237707064E-2
4.842310000E-1,-4.110504895E-2,4.596605860E-3,-1.072794503E-1,1.149766685E-1
4.942290000E-1,-4.532277351E-2,1.576697133E-3,-9.694917440E-2,1.070316878E-1
5.042280000E-1,-4.924669376E-2,-8.526309365E-3,-8.647271812E-2,9.987725355E-2
5.142260000E-1,-4.650624996E-2,-1.182728644E-2,-1.149135751E-1,1.245305012E-1
5.242250000E-1,-3.840241106E-2,-2.085987789E-2,-1.244959921E-1,1.319436687E-1
5.342230000E-1,-4.922257399E-2,-1.538366350E-2,-1.250959164E-1,1.353089324E-1
5.442220000E-1,-4.429814033E-2,-2.047567927E-2,-1.158140463E-1,1.256760597E-1
5.542200000E-1,-4.042450614E-2,-1.696500186E-2,-8.677384973E-2,9.721961212E-2
5.642190000E-1,-4.179626293E-2,-3.026867827E-2,-9.006524742E-2,1.038020678E-1
5.742170000E-1,-3.553614249E-2,-2.338343109E-2,-1.388626009E-1,1.452323112E-1
5.842160000E-1,-3.739714678E-3,-1.933066654E-2,2.122170907E-1,2.131284911E-1
5.942140000E-1,-1.118269578E-1,4.389537681E-2,4.484106892E-1,4.642243195E-1
6.042120000E-1,9.042492427E-2,-4.950641977E-2,-5.341302860E-1,5.439877893E-1
6.142110000E-1,9.621099997E-2,3.124240185E-2,2.837080729E-1,3.012024482E-1
6.242090000E-1,-2.613081389E-1,-8.520226891E-3,-2.270567393E-1,3.462792235E-1
6.342080000E-1,-1.722858338E-1,-6.119812389E-3,7.495253384E-2,1.879833582E-1
6.442060000E-1,-6.668820715E-2,-3.015771639E-1,2.830414903E-1,4.189374512E-1
6.542050000E-1,-2.006333362E-1,2.881409933E-1,5.223843992E-2,3.549758051E-1
6.642030000E-1,3.153735962E-1,1.704303112E-1,1.315834022E-1,3.818654054E-1
6.742020000E-1,-1.529547196E-1,-2.435931403E-1,-7.455726206E-2,2.971389398E-1
6.842000000E-1,7.235392157E-2,-8.971980488E-2,-4.253966331E-2,1.228590913E-1
6.941990000E-1,-1.809191380E-1,1.111476484E-1,1.314085704E-1,2.497073219E-1
7.041970000E-1,2.421987986E-2,3.254326572E-2,-1.019450355E-1,1.097199024E-1
7.141960000E-1,8.002060801E-3,7.310117746E-2,4.294721425E-2,8.516030962E-2
7.241940000E-1,-1.163625516E-1,-5.127147033E-2,-5.735475361E-2,1.394939958E-1
7.341930000E-1,2.113366462E-3,-6.925144376E-2,-1.364447773E-2,7.061445003E-2
7.441910000E-1,-5.882428681E-2,2.165999626E-2,-9.643169582E-2,1.150153212E-1
7.541900000E-1,-1.494252305E-2,1.150312046E-1,2.557630599E-2,1.187838560E-1
7.641880000E-1,-1.041890872E-1,-9.159014644E-3,-1.125840443E-1,1.536698424E-1
7.741870000E-1,-3.279783659E-2,-6.433867713E-2,3.307769895E-2,7.943108728E-2
7.841850000E-1,-9.414179826E-2,-5.087655944E-2,-9.475939214E-2,1.429351072E-1
7.941840000E-1,-7.820714889E-2,-3.433341592E-2,3.367353022E-2,9.180984818E-2
8.041820000E-1,-4.970453074E-2,-5.035487360E-3,-5.778686285E-2,7.638859880E-2
8.141810000E-1,-1.040062521E-2,-5.784080341E-2,1.825266838E-2,6.153772377E-2
8.241790000E-1,-4.625514859E-2,-1.486266060E-2,1.077057123E-2,4.976386898E-2
8.341780000E-1,-3.012942318E-2,-5.909349171E-3,-7.641141415E-3,3.163999986E-2
8.441760000E-1,-3.765537445E-2,-2.391222039E-2,-7.335332036E-3,4.520540459E-2
8.541750000E-1,-3.710226439E-2,-2.529475798E-2,-5.538307250E-2,7.129998263E-2
8.641730000E-1,-6.283085380E-2,-4.654677847E-2,-3.487103999E-2,8.561721909E-2
8.741720000E-1,-5.998497739E-2,-1.882428396E-2,-6.575778723E-3,6.321227765E-2
8.841700000E-1,-4.463276552E-2,-6.900913606E-3,8.096054792E-3,4.588303030E-2
8.941690000E-1,-5.063175296E-2,-6.709458407E-3,-1.944725454E-2,5.465150455E-2
9.041670000E-1,-4.215917403E-2,7.743547631E-3,-3.082067370E-2,5.279462484E-2
9.141660000E-1,-4.385746127E-2,-4.538512859E-4,-2.527985215E-2,5.062364877E-2
9.241640000E-1,-4.519579757E-2,1.150630171E-2,-2.737140119E-2,5.407632292E-2
9.341630000E-1,-4.422965482E-2,4.377782950E-4,-4.907451153E-2,6.606634315E-2
9.441610000E-1,-5.259172138E-2,9.623984776E-3,-6.412641406E-3,5.384823312E-2
9.541600000E-1,-4.855113091E-2,9.993503680E-3,-6.558237076E-3,5.000092901E-2
9.641580000E-1,-5.763454288E-2,-3.652054409E-3,-2.586691260E-2,6.327855247E-2
9.741570000E-1,-5.204577416E-2,5.864122328E-3,-3.275142431E-2,6.177221328E-2
9.841550000E-1,-4.650827821E-2,9.688333841E-4,-1.867776096E-2,5.012800949E-2
9.941540000E-1,-5.229080904E-2,4.628258483E-3,-5.353710651E-3,5.276752510E-2
1.004152000E0,-2.642828185E-2,-1.895047418E-2,-3.289351165E-2,4.625535280E-2
1.014151000E0,-2.843981540E-2,-2.532368800E-2,-4.127374113E-2,5.615722554E-2
1.024149000E0,-5.215460546E-2,-1.893350584E-2,-2.450626552E-2,6.065589472E-2
1.034148000E0,-5.513778180E-2,-3.230069763E-2,3.222634435E-2,7.156847993E-2
1.044146000E0,-5.086319307E-2,-1.781202815E-2,9.254329741E-2,1.070915246E-1
1.054145000E0,-4.830125380E-2,-2.359341237E-2,1.375791371E-1,1.477080878E-1
1.064143000E0,-6.905141417E-2,-3.261668254E-2,1.215326232E-1,1.435344010E-1
1.074142000E0,-7.370517656E-2,-5.780709056E-2,1.184979182E-1,1.510492284E-1
1.084140000E0,-7.206470367E-2,-4.390205543E-2,1.358109391E-1,1.598915981E-1
1.094139000E0,-5.860053945E-2,-1.918979889E-2,1.399431664E-1,1.529259998E-1
1.104137000E0,-2.172235133E-2,9.885409676E-2,9.751460016E-2,1.405456874E-1
1.114136000E0,-4.852810750E-2,-2.944185914E-2,1.464066786E-1,1.570245707E-1
1.124134000E0,-8.464120572E-2,-2.395119117E-2,2.331928074E-1,2.492321783E-1
1.134133000E0,-6.009342497E-2,4.166875252E-2,3.182043064E-1,3.264988289E-1
1.144131000E0,-8.512029368E-2,-4.688384305E-3,3.780821335E-1,3.875739220E-1
1.154130000E0,-2.520416725E-2,8.888355254E-2,4.119228941E-1,4.221563770E-1
1.164128125E0,-9.807719367E-2,1.036800231E-1,4.687069595E-2,1.502183253E-1
1.174127125E0,-1.394820586E-1,-8.099862792E-2,-2.508660167E0,2.513840062E0
1.184125125E0,4.226431428E-1,3.175864018E-1,-6.876968801E-2,5.331206418E-1
1.194124125E0,3.927101860E-1,1.515744203E-1,-1.486327136E-1,4.464165976E-1
1.204122125E0,-1.323593825E-1,-4.210385389E-2,2.565115035E-2,1.412434854E-1
1.214120125E0,-5.967318924E-1,-5.276883354E-1,1.078618330E-1,8.038520422E-1
1.224119125E0,8.195859455E-3,-2.212163850E-2,-1.710205328E-1,1.726399770E-1
1.234117125E0,-7.691635776E-2,-4.686241848E-2,-1.005469662E-1,1.349885357E-1
1.244116125E0,-1.079486276E-1,-2.558447016E-1,2.890512586E-2,2.791861813E-1
1.254114125E0,-8.582409745E-2,1.769239092E-2,-7.939349413E-3,8.798766771E-2
1.264113125E0,1.115672501E-2,2.295393026E-2,-1.365909576E-3,2.555819118E-2
1.274111125E0,-4.887376931E-2,8.486143562E-2,-5.630927145E-2,1.129638997E-1
1.284110125E0,1.169512566E-2,1.256494924E-2,4.787875593E-2,5.086284678E-2
1.294108125E0,-1.184115987E-2,7.164456752E-2,-2.246675670E-2,7.601257974E-2
